metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.747,0.755,0.75,0.795,0.807,0.803,0.793,0.795,0.794,0.768,0.767,0.779,0.809,0.811,0.81,0.802,0.802,0.801,0.784,0.784,0.785,0.814,0.802,0.802,0.81,0.801,0.8,0.794,0.785,0.784,0.761,0.542,0.634,0.739,0.539,0.623,0.725,0.525,0.659,0.746,0.687,0.659,0.803,0.81,0.808,0.793,0.794,0.792,0.778,0.776,0.777,0.577,0.649,0.596,0.615,0.506,0.507,0.68,0.514,0.514,0.705,0.537,0.537,0.663,0.803,0.805,0.804,0.793,0.794,0.794,0.778,0.778,0.778,0.534,0.545,0.524
TPR01,8.971,13.314,8.486,23.314,30.486,28.0,24.914,25.771,24.086,13.857,13.286,12.8,30.143,31.829,31.029,31.371,32.286,32.457,12.057,12.971,13.514,36.4,36.029,36.0,31.81,32.168,31.381,28.183,26.057,26.057,21.693,1.629,3.714,23.983,1.743,6.114,10.657,1.914,9.0,20.493,12.243,3.457,30.657,32.629,32.914,27.343,32.171,31.114,13.857,14.971,12.857,2.771,4.086,7.129,2.451,0.266,0.266,7.344,1.249,1.249,7.999,0.881,0.881,5.457,30.657,31.657,31.143,27.343,30.086,28.686,13.857,14.086,14.457,3.914,2.571,4.943
