domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.803, 0, 0)","(0.22, 25, 72)","(0.776, 25, 9)","(0.805, 0, 0)","(0.801, 0, '-')","(0.256, 0, 0)","(0.005, 0, 0)","(0.151, 100, 36)","(0.3, 0, 0)","(0.318, 0, '-')"
dm_mathematics,"(0.819, 0, 0)","(0.184, 25, 72)","(0.749, 0, 0)","(0.883, 0, 0)","(0.914, 25, 'γ=1')","(0.076, 0, 0)","(0.0, 0, 0)","(0.04, 0, 0)","(0.162, 0, 0)","(0.495, 25, 'γ=2')"
github,"(0.904, 100, 9)","(0.12, 25, 72)","(0.898, 100, 9)","(0.904, 0, 0)","(0.892, 0, '-')","(0.635, 25, 9)","(0.002, 25, 72)","(0.562, 25, 18)","(0.669, 100, 18)","(0.354, 0, '-')"
hackernews,"(0.61, 0, 0)","(0.422, 100, 72)","(0.601, 0, 0)","(0.61, 0, 0)","(0.568, 100, 'γ=1')","(0.05, 100, 9)","(0.009, 25, 36)","(0.048, 100, 9)","(0.052, 0, 0)","(0.039, 0, '-')"
pile_cc,"(0.555, 25, 18)","(0.447, 0, 0)","(0.552, 100, 36)","(0.556, 25, 72)","(0.56, 0, '-')","(0.06, 0, 0)","(0.012, 25, 36)","(0.044, 0, 0)","(0.063, 25, 18)","(0.044, 25, 'γ=1')"
pubmed_central,"(0.787, 0, 0)","(0.27, 25, 72)","(0.765, 0, 0)","(0.79, 0, 0)","(0.802, 100, 'γ=1')","(0.142, 25, 9)","(0.003, 25, 72)","(0.097, 25, 9)","(0.242, 0, 0)","(0.217, 100, 'γ=3')"
