domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.783, 0, 0)","(0.256, 25, 72)","(0.76, 0, 0)","(0.784, 0, 0)","(0.784, 0, '-')","(0.206, 0, 0)","(0.007, 25, 36)","(0.114, 0, 0)","(0.201, 0, 0)","(0.243, 25, 'γ=2')"
dm_mathematics,"(0.911, 0, 0)","(0.095, 100, 72)","(0.882, 0, 0)","(0.95, 0, 0)","(0.939, 100, 'γ=2')","(0.305, 0, 0)","(0.0, 0, 0)","(0.167, 0, 0)","(0.63, 0, 0)","(0.627, 25, 'γ=4')"
github,"(0.866, 100, 9)","(0.159, 25, 72)","(0.863, 100, 9)","(0.865, 0, 0)","(0.862, 0, '-')","(0.564, 25, 18)","(0.003, 25, 9)","(0.546, 25, 36)","(0.545, 100, 18)","(0.474, 100, 'γ=2')"
hackernews,"(0.585, 0, 0)","(0.441, 100, 72)","(0.579, 0, 0)","(0.587, 0, 0)","(0.567, 100, 'γ=2')","(0.042, 0, 0)","(0.01, 25, 72)","(0.034, 25, 18)","(0.059, 0, 0)","(0.042, 0, '-')"
pile_cc,"(0.547, 0, 0)","(0.47, 25, 72)","(0.546, 100, 9)","(0.547, 0, 0)","(0.535, 0, '-')","(0.047, 100, 72)","(0.017, 100, 72)","(0.035, 100, 9)","(0.036, 25, 36)","(0.019, 0, '-')"
pubmed_central,"(0.811, 0, 0)","(0.241, 100, 72)","(0.789, 0, 0)","(0.818, 0, 0)","(0.819, 100, 'γ=1')","(0.204, 25, 9)","(0.003, 25, 72)","(0.131, 100, 9)","(0.295, 100, 18)","(0.294, 25, 'γ=1')"
