metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.651,0.654,0.655,0.889,0.884,0.886,0.881,0.879,0.881,0.876,0.835,0.841,0.886,0.88,0.882,0.883,0.876,0.877,0.89,0.846,0.844,0.859,0.788,0.791,0.862,0.777,0.78,0.861,0.776,0.792,0.848,0.804,0.832,0.838,0.809,0.823,0.822,0.754,0.757,0.81,0.78,0.757,0.863,0.864,0.864,0.855,0.856,0.856,0.838,0.803,0.792,0.664,0.54,0.502,0.799,0.601,0.601,0.85,0.581,0.583,0.851,0.642,0.643,0.863,0.864,0.864,0.855,0.856,0.856,0.838,0.814,0.81,0.713,0.655,0.694
TPR01,0.319,0.372,0.638,68.138,67.128,67.234,67.394,67.447,67.819,66.33,5.559,4.654,65.798,60.16,61.17,66.17,57.926,59.309,64.84,6.303,5.293,50.734,4.681,2.866,52.014,2.287,2.394,53.723,1.702,2.553,49.185,42.606,46.862,39.845,37.594,39.255,20.851,2.736,2.31,43.747,23.149,14.787,52.819,52.819,53.245,45.053,45.479,45.585,26.755,5.452,4.601,9.415,0.16,0.266,30.503,0.354,0.354,48.379,0.0,0.0,48.051,0.0,0.0,52.819,52.819,52.926,45.053,45.053,45.479,26.755,5.452,4.654,16.809,6.968,8.138
