metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.597,0.6,0.595,0.918,0.687,0.697,0.89,0.744,0.751,0.905,0.76,0.717,0.936,0.447,0.48,0.927,0.522,0.552,0.938,0.572,0.505,0.816,0.763,0.767,0.919,0.889,0.916,0.91,0.88,0.868,0.773,0.308,0.313,0.779,0.301,0.3,0.768,0.277,0.245,0.813,0.818,0.81,0.937,0.642,0.654,0.94,0.69,0.704,0.934,0.729,0.683,0.851,0.38,0.379,0.833,0.464,0.463,0.831,0.524,0.526,0.937,0.403,0.444,0.94,0.47,0.504,0.934,0.53,0.463,0.515,0.531,0.654
TPR01,0.32,1.27,0.32,47.46,2.86,3.97,40.32,3.33,4.29,50.0,7.46,7.94,56.35,0.95,1.11,56.19,0.48,0.48,55.87,1.27,1.27,23.95,0.0,2.06,49.96,0.79,54.4,54.5,28.82,19.49,15.46,0.16,0.63,15.28,0.0,1.11,16.98,1.11,0.0,16.86,12.39,16.67,69.68,5.87,5.87,65.87,0.95,1.11,63.65,5.4,2.7,10.51,0.0,0.0,18.52,0.0,0.0,10.24,0.0,0.0,69.68,0.79,0.95,65.87,0.0,0.0,63.65,0.0,0.0,0.0,2.06,1.27
