metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.634,0.642,0.62,0.826,0.834,0.834,0.812,0.824,0.822,0.816,0.828,0.818,0.83,0.829,0.829,0.813,0.812,0.812,0.816,0.813,0.811,0.783,0.769,0.776,0.799,0.78,0.796,0.811,0.804,0.807,0.706,0.551,0.614,0.697,0.525,0.592,0.693,0.522,0.587,0.566,0.521,0.519,0.817,0.821,0.821,0.795,0.802,0.801,0.793,0.801,0.79,0.554,0.537,0.525,0.652,0.504,0.503,0.672,0.538,0.538,0.703,0.533,0.532,0.559,0.817,0.818,0.818,0.795,0.796,0.796,0.793,0.795,0.792,0.608,0.607,0.65
TPR01,2.994,2.616,2.616,31.686,31.105,33.459,33.372,37.209,35.581,30.988,32.093,29.593,28.314,27.267,26.89,29.826,28.256,28.343,29.244,27.267,26.599,8.709,1.608,5.716,14.881,0.807,13.371,20.609,10.199,15.954,8.479,0.494,2.497,5.058,0.523,3.924,5.785,0.552,2.674,1.543,2.471,2.267,19.826,22.297,21.453,19.244,20.64,20.262,19.419,20.145,9.331,1.395,0.581,0.985,2.35,0.482,0.482,4.268,0.897,0.897,4.115,0.856,0.904,1.076,19.826,20.698,20.523,19.244,19.68,19.506,19.419,19.797,18.11,4.709,2.849,3.227
