idx,membership,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,nei_delta
0,1,3.1608338458386154,1.3755101940090844,1.8462715293244352,5.371933578373609,2.337721550381636,3.1377948057063167,23.59025836897984,17.628749280275795,19.867137289006326,40.09236398859485,29.960597368356048,33.764806096808876,3.2988310201683237,1.3589592500696304,1.9310658528476137,4.646240873476512,1.9140271127741268,2.7198110603487513,27.08096331025807,20.123104602362375,23.154397644933685,38.1422018454339,28.342400848397713,32.61182766892068,3.1597437212698436,1.4128092566114026,1.946748736559269,4.962948253303419,2.21907213080325,3.057720528627124,23.564556060652354,17.82756731067626,20.2010127175484,37.012391718302126,28.00141462409884,31.729339346934665,0.7336683417085428,-0.001331658291457205,-0.001331658291457205,0.5628140703517588,-0.0021859296482411583,-0.0021859296482411583,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.4349030470914127,0.09742033616471835,0.1563106717248438,0.4027777777777778,0.42211055276381915,0.10632107907960864,0.1549986996753383,0.398989898989899,0.4381270903010034,0.11091507026761438,0.17895022711969077,0.3959731543624161,26.0,13.0,13.0,37.0,12.0,12.0,50.0,17.0,17.0,0.0004955357397447265,9.890990393541922e-06,0.00018864431273093118,0.0002622016269242522,-0.0001365127225412266,0.00011599584989241407,-1.2241220474243164
8,1,3.038679198627054,1.3978017973631924,1.6983998667392486,5.419635626988512,2.4930490931326204,3.029180714703768,20.877649787869,15.717955138498642,17.057539352863902,37.23632776018194,28.033755485114465,30.42297062069233,2.7182724200301434,1.1684435623238392,1.6356258628240388,4.686676586258868,2.014557866075585,2.8200445910759293,15.15411966435112,10.443455744579303,12.201636528638328,26.127792524743313,18.00595818030915,21.037304359721258,2.8725344062250193,1.3278277165305303,1.8133765297552193,5.160241448308418,2.3853192512524495,3.2575626283027894,17.68177425961554,12.9951774613481,14.797832928094964,31.763666334638696,23.344630170086404,26.58293340376341,0.6030150753768844,-0.0019849246231156137,-0.0019849246231156137,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.3869346733668342,-0.0030653266331658324,-0.0030653266331658324,0.4233576642335767,0.1402470931521672,0.17311328495693934,0.4317073170731708,0.40703517587939697,0.13134595282175288,0.1833289989177943,0.36868686868686873,0.42140468227424754,0.1476150328585547,0.20115996592274588,0.3993288590604027,23.0,7.0,7.0,34.0,9.0,9.0,42.0,9.0,9.0,0.00031791417624798163,-6.974443240998381e-05,0.0001265670740014993,-0.01906820172530832,-0.014786576893134118,-0.01754843302353226,-1.1689038276672363
6,1,3.440774545700419,1.584278625101623,2.1634484834589562,5.643598461201746,2.5985522422301757,3.5485133855676003,31.211123249939813,24.80985637107485,27.624087868704564,51.19284765863144,40.69341521181589,45.309350472478386,3.9765578316683747,1.827402087333267,2.5238109291054354,6.071080659035687,2.789926850890484,3.85314645664952,53.33313627250579,44.755522632018256,49.058295298803124,81.42463553054318,68.32904218628741,74.89816076153149,3.4525742339449983,1.5910657076762924,2.181922114688235,5.6910564295796675,2.6226357818839987,3.5965749143212666,31.58158614904265,25.148151689180736,28.018410728852878,52.05755958633404,41.45299728985835,46.18419350909815,0.7688442211055276,-0.0011557788944723812,-0.0011557788944723812,0.6532663316582914,-0.0017336683417086274,-0.0017336683417086274,0.5276381909547738,-0.002361809045226204,-0.002361809045226204,0.43042071197411,0.12993605930852037,0.18822480239391626,0.3571428571428571,0.4120603015075377,0.08624576516668558,0.16164293923708695,0.38888888888888884,0.4280936454849499,0.12759281076040896,0.19005137629696323,0.3557046979865772,23.0,3.0,3.0,36.0,5.0,5.0,44.0,6.0,6.0,0.0021529828636014697,0.0004563120073173298,0.00034747708565581556,0.0004675458078473582,6.49105800478722e-05,-7.53513430460373e-05,-1.4799795150756836
5,1,3.0058096441006033,1.4034962632867254,1.9107550257927979,4.871975821243632,2.274861241914977,3.0970531697684214,20.20256636481922,15.23806242636877,17.213220412867283,32.74539192781125,24.69866042567829,27.900101332704317,2.9613481115813207,1.3152664781095988,1.8111625427606106,4.333149075034433,1.9245443319397806,2.6501569559511875,19.324005118718816,14.137388226232664,16.16522609251443,28.275566313419446,20.686325419266915,23.653529355958614,2.852787725901524,1.3088128502937708,1.7950834620489027,4.480818417646373,2.055726989990216,2.8195028199720986,17.336042675519717,12.652874340156364,14.45629043211255,27.22938640133987,19.873624618046644,22.706215338396674,0.6111111111111112,0.0011111111111111738,0.0011111111111111738,0.4797979797979798,-0.00020202020202020332,-0.00020202020202020332,0.4242424242424242,-0.0007575757575758457,-0.0007575757575758457,0.42228739002932547,0.13092575020502095,0.1945259042033235,0.4088235294117647,0.4242424242424242,0.142126555224792,0.19437665243034363,0.37055837563451777,0.42140468227424754,0.12257329663150962,0.19226118950450344,0.38926174496644295,24.0,-1.0,-1.0,37.0,2.0,2.0,45.0,2.0,2.0,0.0008667431310045594,-0.00039110330236187036,0.00013231847245547728,-0.0043264510304013015,-0.003550956443628017,-0.004018588703321058,-1.7949621677398682
1,1,3.054764815636941,1.3019310022527435,1.817383915649325,5.545062219688795,2.3632877975674798,3.2989468903634482,21.216195222754287,15.445261948659402,17.76962051339086,38.5120065456518,28.036508102457823,32.25572419278558,3.1923438496326084,1.3230871613927293,1.8689630052107122,5.1489416929558205,2.134011550633435,3.014456460017278,24.345422632818394,17.861947268560435,20.589323912288055,39.26681069809418,28.80959236864586,33.20858695530332,3.086603747562421,1.3262115324657293,1.8391649344844287,5.479178250110807,2.3542216552646087,3.264789824528572,21.90256487538955,16.08784730816243,18.421149900666975,38.8802926782063,28.558308831057566,32.70026609585854,0.6482412060301508,-0.0017587939698492372,-0.0017587939698492372,0.5175879396984925,-0.002412060301507535,-0.002412060301507535,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.3933933933933934,0.09204406805606202,0.14863814863814861,0.3644578313253012,0.4120603015075377,0.1163209531366104,0.16832073556429894,0.3787878787878788,0.39799331103678925,0.10250082355765733,0.15550165363968138,0.37248322147651003,24.0,10.0,10.0,34.0,11.0,11.0,43.0,12.0,12.0,0.00020069920242724663,0.0004998311314177565,0.0002729419271124402,0.0003727715704986423,-2.805402114880451e-05,0.00018514738865160751,-1.0775909423828125
7,1,3.3952511676563106,1.5309056149238185,2.1076754415275163,6.156722117350109,2.776042181728524,3.8219181339698953,29.822142892085388,23.37043069345288,26.198152539348772,54.077485777648164,42.378380990794554,47.505983271352434,3.257020838895635,1.4052301496089035,1.9646790406004722,5.520374303212941,2.3817460162862774,3.329964475594021,25.972046860007552,19.600828674034744,22.330743081975868,44.020418406792466,33.22174351531313,37.848717088094695,3.3952511676563106,1.5309056149238185,2.1076754415275163,6.156722117350109,2.776042181728524,3.8219181339698953,29.822142892085388,23.37043069345288,26.198152539348772,54.077485777648164,42.378380990794554,47.505983271352434,0.7437185929648241,-0.0012814070351758744,-0.0012814070351758744,0.5778894472361809,-0.002110552763819218,-0.002110552763819218,0.4371859296482412,-0.002814070351758735,-0.002814070351758735,0.39852398523985244,0.07439875503727422,0.1396282797183801,0.37777777777777777,0.40703517587939697,0.08623317086686566,0.14827056819993123,0.3535353535353535,0.39852398523985244,0.07439875503727422,0.1396282797183801,0.37777777777777777,25.0,7.0,7.0,38.0,12.0,12.0,45.0,9.0,9.0,0.00022164340517244127,0.0003052249974120139,0.00018016585772475665,-0.00019024471046957814,0.00021210453193631906,5.782182176528039e-05,-0.8801617622375488
2,1,3.919991391604064,1.7699619105373037,2.4544744599247306,6.669429798215247,3.0113935283447177,4.176015574177493,50.40001091294892,41.81489942125677,46.07023005015441,85.75001856717003,71.14340526533269,78.38337751588769,3.848901432363232,1.722469024295715,2.3907580878566357,6.258376312785743,2.800762641131244,3.887411524970139,46.94146651958858,38.55656703172234,42.643494257560654,76.3275878367294,62.69360492962983,69.33901505294416,3.919991391604064,1.7699619105373037,2.4544744599247306,6.669429798215247,3.0113935283447177,4.176015574177493,50.40001091294892,41.81489942125677,46.07023005015441,85.75001856717003,71.14340526533269,78.38337751588769,0.7989949748743719,-0.0010050251256281673,-0.0010050251256281673,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.542713567839196,-0.0022864321608039306,-0.0022864321608039306,0.4426229508196722,0.11133460726139,0.18785455844909993,0.42798353909465026,0.44221105527638194,0.11138398760720902,0.1901242439241282,0.4191919191919192,0.4426229508196722,0.11133460726139,0.18785455844909993,0.42798353909465026,22.0,6.0,6.0,37.0,9.0,9.0,45.0,6.0,6.0,0.00019010937845476906,-0.0001257029865743739,-1.3567900240873955e-05,-3.136820234672655e-06,-7.934534252473924e-05,-9.790377231322367e-05,-0.611149787902832
4,0,4.044688420690549,1.8601875357565922,2.537767857223071,6.467395190444279,2.97441154194582,4.057852157488666,57.09339414217511,48.20718193822711,52.58058168672229,91.2914677907876,77.08254979970324,84.07554939755087,4.315588924753007,1.9390086404001186,2.6783955275430875,6.489607405643619,2.9158024667670954,4.027662447433214,74.85769601509142,64.08967973977997,69.71697473128992,112.5679639324683,96.37545825530822,104.83755598690215,4.0784625831655035,1.8729052043822536,2.558674695853222,6.372597786196099,2.9264143818472714,3.99792921227066,59.05460847265337,49.97929992981994,54.48335300163718,92.2728257385209,78.09265614034365,85.13023906505809,0.7688442211055276,-0.0011557788944723812,-0.0011557788944723812,0.6733668341708543,-0.001633165829145744,-0.001633165829145744,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.46178343949044587,0.13268963980841086,0.20754615135485266,0.43450479233226835,0.4723618090452262,0.1290034130552512,0.21359720136576044,0.4494949494949495,0.4682274247491639,0.1343376083885629,0.2090505615678513,0.4395973154362416,28.0,8.0,8.0,41.0,10.0,10.0,48.0,7.0,7.0,0.0008075579185905774,-0.00022365466694744822,0.00011324936891705532,-0.00793299696757721,-0.006221560826102035,-0.007600144971505962,-1.199537754058838
0,0,3.411769947399099,1.5710993865757625,2.1530038561509754,5.474252344979345,2.520860032697834,3.45453726071682,30.318859583915398,24.018097695066846,26.797785462299423,48.64720972786426,38.53751268586997,42.99757667397196,3.7608252284514845,1.710364997416209,2.3688829112721566,5.571592931039236,2.533874070246235,3.5094561648476392,42.98388286983265,35.212405911561895,38.96122712649884,63.67982647382614,52.16652727638799,57.720336483701985,3.411769947399099,1.5710993865757625,2.1530038561509754,5.474252344979345,2.520860032697834,3.45453726071682,30.318859583915398,24.018097695066846,26.797785462299423,48.64720972786426,38.53751268586997,42.99757667397196,0.7537688442211055,-0.0012311557788945438,-0.0012311557788945438,0.6281407035175879,-0.0018592964824121205,-0.0018592964824121205,0.5276381909547738,-0.002361809045226204,-0.002361809045226204,0.441696113074205,0.12599946404422258,0.1914023410413025,0.3865248226950354,0.457286432160804,0.1314718958199519,0.20519962080855025,0.4191919191919192,0.441696113074205,0.12599946404422258,0.1914023410413025,0.3865248226950354,24.0,12.0,12.0,31.0,3.0,3.0,43.0,7.0,7.0,0.0011177989263723347,0.00041257094675552935,0.00010309197334243674,-0.0002734037727947225,0.00016562223134020115,1.5767138139999304e-05,-1.279862880706787
8,0,3.9405241696643425,1.803457595065729,2.4894456898760957,6.12970426392231,2.805378481213356,3.872471073140593,51.445560436474935,42.971018740793035,47.177845758321006,80.02642734562767,66.8438069301225,73.38776006849933,3.8828608450578086,1.7732188335778836,2.4549939815698516,5.883122492511831,2.6866952023907325,3.7196878508634112,48.56294759922307,40.31765856182028,44.393152642767674,73.58022363518647,61.08736145730345,67.26235248904193,3.9405241696643425,1.803457595065729,2.4894456898760957,6.12970426392231,2.805378481213356,3.872471073140593,51.445560436474935,42.971018740793035,47.177845758321006,80.02642734562767,66.8438069301225,73.38776006849933,0.7638190954773869,-0.001180904522613102,-0.001180904522613102,0.6080402010050252,-0.001959798994974782,-0.001959798994974782,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.43881856540084385,0.11250277592715963,0.18496162290435014,0.4491525423728814,0.44221105527638194,0.12391531592801097,0.19513259116953718,0.4494949494949495,0.43881856540084385,0.11250277592715963,0.18496162290435014,0.4491525423728814,26.0,4.0,4.0,41.0,9.0,9.0,50.0,6.0,6.0,-1.4777251495444163e-05,4.120656753810907e-05,-0.0001136104167415202,4.537263278781012e-05,-4.0869005880850295e-05,-6.618974063954397e-05,-0.7157697677612305
