metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.541,0.551,0.547,0.562,0.567,0.567,0.554,0.567,0.563,0.535,0.555,0.578,0.589,0.589,0.589,0.582,0.583,0.582,0.575,0.576,0.577,0.589,0.579,0.579,0.591,0.576,0.576,0.575,0.569,0.569,0.518,0.457,0.483,0.51,0.453,0.479,0.509,0.459,0.518,0.507,0.495,0.482,0.589,0.589,0.589,0.582,0.589,0.587,0.576,0.586,0.592,0.514,0.511,0.511,0.507,0.504,0.504,0.525,0.51,0.51,0.531,0.589,0.589,0.589,0.582,0.583,0.582,0.576,0.578,0.578,0.518,0.517,0.531
TPR01,3.046,2.87,3.046,3.377,4.415,4.636,1.987,3.068,3.267,1.832,2.119,3.907,5.188,5.099,5.166,4.879,4.834,4.79,3.201,3.179,3.422,4.79,4.883,4.883,5.052,4.785,4.785,4.801,3.964,3.964,1.703,0.265,0.265,2.606,0.662,0.706,1.854,0.949,0.375,4.696,2.167,0.817,6.137,4.592,4.724,4.459,4.327,4.238,2.693,1.987,2.914,0.381,2.74,2.74,1.133,2.963,2.963,1.206,2.9,2.9,1.656,6.137,5.894,5.938,4.459,4.525,4.503,2.693,2.737,2.605,1.854,1.347,2.472
