idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000
139,1,test,2.9824350681254472,1.1970190261238565,1.555053198956639,5.068802200984504,2.034395564578213,2.6428931049532114,19.73581623695418,13.773756337955355,15.568043117035431,33.54203746101181,23.40920920217524,26.458692113705954,3.01536555086548,1.2099646723010231,1.7026231102166927,4.568735683129515,1.8332798065167015,2.579731985176807,20.396545552825852,14.314136285477282,16.680193929396086,30.903856898220987,21.688085281026183,25.27302110514558,2.8727322725149302,1.203869945203537,1.6666529346820051,4.658484766240427,1.9522215327624926,2.7026804346194675,17.685273232840345,12.379145507415519,14.34491072014878,28.678821458660018,20.074290012025166,23.26201738402505,0.6633165829145728,-0.0016834170854271857,-0.0016834170854271857,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.41534391534391535,0.10887099592515714,0.12893140312495155,0.41644562334217505,0.42713567839195976,0.12137126736439086,0.15501547805806992,0.4292929292929293,0.4147157190635451,0.10085929168458019,0.15220181472539163,0.4093959731543624,23.0,-9.0,-9.0,33.0,-8.0,-8.0,43.0,-11.0,-11.0,0.0003744762687897099,-0.0003314553030130652,5.463838995910104e-05,-0.003019629830662396,-0.003694276870468194,-0.0033113526968628904
159,1,test,3.1352509453489974,1.3494425197557676,1.6866298711069043,5.685255047566182,2.4469891024904586,3.058422166273853,22.994405457177926,17.030005684668403,18.73716540926505,41.696521895682636,30.881076974865366,33.97672660880062,4.1552084917998195,1.9004456621052865,2.6180937133750772,6.392628448922799,2.923762557085056,4.027836482115503,63.7652576953515,54.23222560547408,59.11410640431278,98.10039645438692,83.43419323919089,90.94477908355813,3.573748177110551,1.5987099842055006,2.2153505703627188,5.702789644325347,2.551132953519416,3.535133888876679,35.64996542843803,28.44307052762118,31.760010361111537,56.8882427049543,45.38787850152316,50.68086759751841,0.7537688442211055,-0.0012311557788945438,-0.0012311557788945438,0.6231155778894473,-0.0018844221105527303,-0.0018844221105527303,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.40294840294840295,0.10969686920607169,0.14097381839317324,0.3152709359605911,0.4623115577889447,0.13399075578393216,0.21356364460029698,0.40909090909090906,0.44147157190635455,0.13930128810001063,0.20454164977064826,0.3523489932885906,24.0,0.0,0.0,35.0,0.0,0.0,45.0,0.0,0.0,0.0004626419807977881,0.002117466009738354,0.0002790345031117278,-0.02803139248675901,-0.0317769350569721,-0.030171464227068512
16,1,test,3.048835419243835,1.371750196927446,1.8835431982631385,5.282284621713155,2.3766369690952254,3.2633480993163673,21.090768212034856,15.740828873155614,17.88390835400789,36.54098213480457,27.271901187211466,30.984910985432272,3.118791963586855,1.3153605276528695,1.8749402181199,4.835336377654039,2.0393186475238285,2.90688405910062,22.619038509807908,16.54859641037301,19.150089234961204,35.068276759392106,25.65673862073335,29.690060829397215,3.048835419243835,1.371750196927446,1.8835431982631385,5.282284621713155,2.3766369690952254,3.2633480993163673,21.090768212034856,15.740828873155614,17.88390835400789,36.54098213480457,27.271901187211466,30.984910985432272,0.728643216080402,-0.001356783919598037,-0.001356783919598037,0.5678391959798995,-0.0021608040201005485,-0.0021608040201005485,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.43434343434343436,0.11669637551990497,0.18798285203660348,0.4054054054054054,0.4120603015075377,0.09376456215916673,0.15162624474626896,0.38888888888888884,0.43434343434343436,0.11669637551990497,0.18798285203660348,0.4054054054054054,15.0,0.0,0.0,30.0,1.0,1.0,38.0,0.0,0.0,0.000387149811522168,9.485575829963631e-05,1.2483708239428427e-05,0.0005149329265217162,0.00011139288064487829,-3.329665942342075e-05
177,1,test,3.070966336008621,1.4157190819630203,1.9247203657388072,4.863746683516356,2.242192924406297,3.0483409035755162,21.562729452463298,16.32835547012931,18.416370266876655,34.15070124092836,25.860584609448047,29.167548584837085,3.1648437647364247,1.372091610845055,1.897647402610372,4.521205378194892,1.9601308726357924,2.71092486087196,23.685043304762996,17.679084239536127,20.134160101747874,33.83577614966143,25.255834627908758,28.763085859639826,3.070966336008621,1.4157190819630203,1.9247203657388072,4.863746683516356,2.242192924406297,3.0483409035755162,21.562729452463298,16.32835547012931,18.416370266876655,34.15070124092836,25.860584609448047,29.167548584837085,0.7035175879396984,-0.001482412060301641,-0.001482412060301641,0.592964824120603,-0.0020351758793969443,-0.0020351758793969443,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.42808219178082196,0.10500526870389892,0.17409585920679005,0.415807560137457,0.42211055276381915,0.09378975075880658,0.1583375978389444,0.4292929292929293,0.42808219178082196,0.10500526870389892,0.17409585920679005,0.415807560137457,18.0,0.0,0.0,28.0,1.0,1.0,37.0,0.0,0.0,0.00043536563787913076,0.00014054559430655032,3.536150920770637e-05,-0.01743437374767609,-0.012655456646183616,-0.014598201256087684
230,1,test,2.708639799808123,1.1643824498771307,1.6119603843466774,4.833650029491844,2.077875863592891,2.87659228808827,15.008846588300926,10.32435519127475,12.014639607531532,26.783742806746954,18.424125562330076,21.440489465373943,2.8271665091466422,1.1864070927153787,1.6508336927650598,4.327739502462936,1.8161154726950794,2.5270454220018985,16.897513976845058,11.738428057273016,13.655052305649676,25.866194472247432,17.968824487671768,20.90273391403296,2.6108375253485994,1.1207887162254406,1.5407545001811362,4.662209866693927,2.001408421831144,2.7513473217520286,13.61044517248637,9.173133077455653,10.694823612589776,24.304366379439944,16.380594781170803,19.097899308196027,0.6616161616161615,0.0016161616161616266,0.0016161616161616266,0.5303030303030303,0.00030303030303024947,0.00030303030303024947,0.38888888888888884,-0.0011111111111111738,-0.0011111111111111738,0.3944099378881988,0.085882806105253,0.1423438221857194,0.3738317757009346,0.398989898989899,0.08412843803272019,0.1338892278489594,0.3756345177664975,0.3846153846153846,0.08077565172723766,0.12877556259091294,0.3523489932885906,19.0,1.0,1.0,29.0,0.0,0.0,37.0,1.0,1.0,0.0006136478186418615,0.00012608220163391255,3.95120156069767e-05,-0.002803929367721558,-0.003481774024220563,-0.004309111069407123
469,1,test,2.7092772180383857,1.1561082814554438,1.5947311528673243,4.5154620300639765,1.9268471357590733,2.657885254778874,15.018416550441666,10.291992335954731,11.970232362324097,25.03069425073611,17.153320559924556,19.950387270540165,2.8410252698102787,1.1582136974861872,1.659113632973714,4.2403362235974305,1.7286771604271447,2.476289004438379,17.133322813765773,11.752659966886712,13.87272147915905,25.57212360263548,17.541283532666732,20.705554446506042,2.7215932723271807,1.165083640793893,1.6101765637945304,4.413394495665698,1.8893248229090154,2.6110971304776167,15.204527910292299,10.462287750884315,12.165867667915272,24.655991205879403,16.96587202846105,19.728434056078818,0.6633165829145728,-0.0016834170854271857,-0.0016834170854271857,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.3918495297805643,0.09717868338558,0.15047021943573669,0.3679245283018868,0.3869346733668342,0.0879396984924623,0.1423785594639866,0.36868686868686873,0.39799331103678925,0.10033444816053505,0.15719063545150502,0.37248322147651003,19.0,-10.0,-10.0,32.0,-23.0,-23.0,40.0,-26.0,-26.0,0.0009675153375423286,-5.7942349036345755e-06,0.00012756485752672968,-0.004247472499277372,-0.0034701534490721997,-0.004298597398502579
223,1,test,3.6002289737470052,1.5929729474649132,2.1946940884512722,5.497646946397454,2.4325127441018273,3.351357189121538,36.60661543802956,29.16374916592136,32.52890817432306,55.89929114185595,44.53383318579884,49.67252194187169,3.2228541320292794,1.2918641835988236,1.8359325132922353,4.637200189970186,1.8587973864731273,2.641629515528396,25.099655778238038,18.203321899839466,21.09714596070063,36.114612630558334,26.191830071711465,30.355605698849836,3.6405317484335757,1.6138472813296527,2.2274813553247794,5.488238816734034,2.4329355999944515,3.3580120934544415,38.112097386219695,30.523213977543264,34.00362863239503,57.455423195306075,46.01489544353256,51.261751707128184,0.5678391959798995,-0.0021608040201005485,-0.0021608040201005485,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.40828402366863903,0.10400041953274541,0.17009504729068625,0.4451038575667656,0.4170854271356784,0.11883981310059066,0.17334586119243967,0.4444444444444444,0.4180602006688964,0.11588991686255246,0.18001793148090972,0.459731543624161,21.0,0.0,0.0,32.0,0.0,0.0,39.0,0.0,0.0,-0.0023930226222901585,0.0004625254453620226,-0.0008806014496987302,-0.014205494602783197,-0.016563766513598033,-0.01310572991165948
90,1,test,3.317187244500687,1.3870411447648527,1.9183949387077581,6.714306711760426,2.8075049677168105,3.8830162614807633,27.58265807157791,20.69214120083796,23.53235259012599,55.82995850632637,41.8828882137443,47.6317498209779,2.7819799604128352,1.016768347455672,1.4621050586094475,5.199962542827729,1.9005015840292927,2.7329066516064433,16.150967587502496,10.308158946213165,12.408014476214863,30.188724462621487,19.267586815351706,23.19255042283152,3.301462519926371,1.3891507215822987,1.9230813548897359,6.389927457922008,2.688678815965739,3.7220929449478755,27.152320705963557,20.38360206837345,23.183848582642145,52.55287878573591,39.45213303556151,44.871964998662214,0.592964824120603,-0.0020351758793969443,-0.0020351758793969443,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.3316582914572864,-0.0033417085427135396,-0.0033417085427135396,0.4,0.10789865871833082,0.14677259185700098,0.4281437125748503,0.36180904522613067,0.06606969685520336,0.09803609030125593,0.3535353535353535,0.38795986622073575,0.10415352231422492,0.14546820882362788,0.41946308724832215,17.0,0.0,0.0,29.0,0.0,0.0,36.0,0.0,0.0,-0.0007789157976870046,-0.0004054002531494585,-0.0005331173734875515,-0.0019728908028948666,-0.0035321298498676157,-0.004007992492741863
336,1,test,2.7722553050518037,1.0045667597200234,1.4481073323295282,4.823403738847358,1.7478300270273244,2.519539347001087,15.994666214229698,10.137367392868335,12.235684978583722,27.82887011839965,17.63784731360329,21.28867733268035,2.7027772197771314,0.7432022574575445,1.1810802556071498,4.3947597069546855,1.2084589552155198,1.9204557001742275,14.921113446567587,7.824803221738398,10.341122762077106,24.261973083849735,12.723257271119346,16.814833759474972,2.778923983956659,1.0114739999873035,1.4637708785836796,4.818943324780333,1.7540011560473467,2.5383310033242994,16.10168595092457,10.245784288089514,12.376364642625854,27.92199875882873,17.76725599090667,21.461904004553503,0.6633165829145728,-0.0016834170854271857,-0.0016834170854271857,0.5175879396984925,-0.002412060301507535,-0.002412060301507535,0.36180904522613067,-0.0031909547738693256,-0.0031909547738693256,0.4,0.07886855241264557,0.12394678492239475,0.4347826086956522,0.42713567839195976,0.07375221974534318,0.12162649642200984,0.46464646464646464,0.39799331103678925,0.06744239283979425,0.12101889501899166,0.43624161073825507,15.0,-5.0,-5.0,25.0,-11.0,-11.0,34.0,-15.0,-15.0,-0.0006255219043089453,-0.0003200761540533763,-8.29933848382201e-05,-0.00417244289470986,-0.005144720862937824,-0.004857865448061105
362,1,test,3.5567078464078588,1.5746232442410604,2.1599070663215936,5.9213322937449515,2.6214881483793477,3.5958892367881474,35.04762484458003,27.789767873848284,31.00537762383421,58.348518285207405,46.26538277898918,51.61884296715256,3.5278098792886015,1.4664952633004078,2.075553296673429,5.427399814290156,2.256146558923704,3.193158917959121,34.04931378681413,26.193022756406123,29.776568339133316,52.38355967202174,40.296958086778645,45.810105137128176,3.5582043925256635,1.5770242992014194,2.167962996350453,5.865172075591753,2.5994906030792624,3.5735653785996475,35.10011449827665,27.84881935528995,31.084295158849304,57.85733159056591,45.90464728893948,51.23784916293842,0.6934673366834171,-0.0015326633165829717,-0.0015326633165829717,0.592964824120603,-0.0020351758793969443,-0.0020351758793969443,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.4403973509933775,0.1164304088446172,0.1903973509933775,0.46179401993355484,0.42713567839195976,0.10132114205110765,0.16503217254888802,0.45959595959595956,0.44147157190635455,0.11759845003657154,0.18785644398644352,0.46308724832214765,25.0,-15.0,-15.0,42.0,-22.0,-22.0,45.0,-18.0,-18.0,-0.00041751225973059135,-0.00010572488166617009,6.5762518009660585e-06,-0.007072343868738784,-0.008401716868285725,-0.00683637280362781
