metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.538,0.55,0.545,0.573,0.576,0.576,0.568,0.57,0.57,0.55,0.547,0.577,0.588,0.589,0.589,0.582,0.582,0.582,0.575,0.574,0.577,0.587,0.567,0.568,0.584,0.557,0.57,0.571,0.542,0.555,0.522,0.456,0.48,0.51,0.445,0.461,0.5,0.435,0.491,0.522,0.509,0.491,0.588,0.589,0.589,0.581,0.58,0.581,0.575,0.572,0.585,0.505,0.501,0.483,0.523,0.529,0.53,0.527,0.546,0.544,0.539,0.541,0.545,0.588,0.589,0.588,0.581,0.581,0.581,0.575,0.575,0.577,0.524,0.503,0.527
TPR01,1.06,1.28,1.214,4.349,6.137,5.475,3.687,2.737,3.4,2.561,1.589,1.678,5.232,5.938,5.541,4.481,4.216,4.459,2.163,2.053,1.832,4.024,0.699,0.718,4.279,1.906,1.878,4.576,1.033,0.592,2.504,0.332,1.126,2.943,0.331,0.419,1.28,0.353,0.905,3.554,1.625,0.574,4.834,5.982,5.188,3.775,3.841,3.885,1.766,1.634,1.589,0.486,1.722,0.952,0.523,0.436,0.436,0.901,0.891,0.891,0.945,0.704,0.704,4.834,4.812,4.768,3.775,3.819,3.863,1.766,1.81,1.766,2.163,2.428,2.031
