metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.505,0.508,0.499,0.772,0.791,0.789,0.466,0.469,0.468,0.503,0.503,0.504,0.79,0.799,0.798,0.474,0.474,0.474,0.504,0.504,0.504,0.74,0.748,0.748,0.742,0.746,0.746,0.735,0.733,0.733,0.704,0.609,0.672,0.701,0.422,0.44,0.498,0.503,0.327,0.693,0.674,0.498,0.781,0.795,0.794,0.47,0.471,0.471,0.504,0.504,0.504,0.631,0.501,0.501,0.655,0.522,0.522,0.698,0.521,0.521,0.781,0.791,0.79,0.47,0.471,0.47,0.504,0.504,0.504,0.508,0.519,0.512
TPR01,3.143,3.486,2.314,3.646,5.674,5.674,0.547,0.552,0.552,1.006,1.006,1.006,3.646,5.674,5.674,0.547,0.552,0.552,1.006,1.006,1.006,22.614,23.329,23.329,22.301,22.838,22.838,23.338,14.043,14.043,14.951,8.04,8.04,14.812,0.835,0.835,2.057,1.006,0.587,15.997,5.264,1.4,3.646,5.674,5.674,0.547,0.552,0.552,1.006,1.006,1.006,3.646,0.207,0.207,3.646,2.926,2.926,3.646,5.129,5.129,3.646,5.674,5.674,0.547,0.552,0.552,1.006,1.006,1.006,1.143,2.014,1.873
