metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.615,0.592,0.631,0.746,0.759,0.758,0.715,0.733,0.729,0.686,0.719,0.73,0.763,0.762,0.762,0.742,0.742,0.742,0.735,0.736,0.737,0.755,0.739,0.741,0.746,0.73,0.726,0.741,0.721,0.722,0.63,0.455,0.533,0.629,0.473,0.534,0.63,0.492,0.591,0.662,0.597,0.584,0.747,0.748,0.748,0.73,0.733,0.732,0.728,0.734,0.738,0.582,0.522,0.522,0.595,0.523,0.523,0.616,0.528,0.528,0.611,0.747,0.747,0.747,0.73,0.731,0.73,0.728,0.729,0.729,0.501,0.512,0.55
TPR01,4.171,4.686,4.143,18.857,17.857,18.743,12.114,15.0,16.257,9.8,11.029,11.657,23.171,23.086,23.229,16.429,16.8,16.571,9.457,9.429,8.914,25.457,14.729,9.7,18.202,6.45,4.507,22.457,3.7,5.386,5.883,1.029,1.971,4.707,0.257,1.314,3.086,0.171,4.114,10.177,4.221,2.914,19.686,20.743,20.286,12.943,15.4,14.371,7.714,9.829,8.657,1.65,1.148,1.148,4.827,2.236,2.236,3.523,2.217,2.16,3.486,19.686,19.743,19.657,12.943,13.257,13.2,7.714,8.4,8.143,3.143,2.371,5.657
