metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.536,0.532,0.535,0.899,0.719,0.714,0.876,0.704,0.704,0.89,0.746,0.685,0.923,0.521,0.536,0.913,0.489,0.506,0.923,0.55,0.48,0.76,0.761,0.759,0.903,0.89,0.9,0.887,0.875,0.875,0.739,0.217,0.22,0.724,0.243,0.227,0.725,0.207,0.205,0.801,0.79,0.792,0.923,0.688,0.688,0.924,0.656,0.658,0.917,0.716,0.651,0.576,0.474,0.615,0.849,0.245,0.246,0.824,0.417,0.417,0.805,0.51,0.51,0.923,0.487,0.507,0.924,0.433,0.454,0.917,0.505,0.431,0.507,0.498,0.632
TPR01,3.492,3.492,3.492,6.032,10.159,10.635,4.286,2.857,2.857,7.143,12.381,13.651,6.667,0.952,1.111,4.286,0.476,0.476,7.143,2.698,1.27,12.74,13.216,13.216,6.338,6.814,6.814,17.086,17.086,17.086,6.238,2.381,1.746,6.121,1.27,1.27,6.508,1.111,0.476,6.121,3.492,3.968,37.143,6.349,6.032,29.365,1.27,1.27,19.048,9.841,6.349,0.159,0.0,1.31,6.568,0.0,0.0,12.547,0.0,0.0,6.168,1.27,1.27,37.143,0.159,0.159,29.365,0.0,0.159,19.048,2.54,0.0,0.476,0.476,4.444
