metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.641,0.642,0.637,0.918,0.766,0.773,0.902,0.752,0.758,0.904,0.773,0.676,0.945,0.731,0.765,0.943,0.715,0.748,0.949,0.764,0.63,0.807,0.76,0.806,0.939,0.904,0.939,0.929,0.886,0.918,0.832,0.418,0.441,0.821,0.436,0.473,0.806,0.443,0.415,0.865,0.855,0.857,0.944,0.761,0.773,0.944,0.746,0.756,0.94,0.771,0.668,0.882,0.361,0.36,0.849,0.535,0.529,0.836,0.564,0.564,0.944,0.723,0.76,0.944,0.706,0.744,0.94,0.759,0.615,0.502,0.505,0.658
TPR01,0.0,0.0,0.16,61.43,21.75,19.68,55.71,10.79,10.79,72.22,11.59,13.81,68.41,2.22,3.81,68.89,0.63,0.63,77.62,6.67,0.0,30.83,3.2,30.83,70.85,4.76,70.85,67.46,21.82,67.46,20.57,1.27,2.54,10.6,1.27,0.48,12.22,3.33,3.97,25.99,11.86,14.29,66.83,21.27,22.54,67.62,9.37,9.21,70.0,13.33,10.16,25.78,0.0,0.0,24.37,0.56,0.56,17.97,0.0,0.0,66.83,1.43,1.9,67.62,0.0,0.0,70.0,1.9,0.0,2.06,1.27,3.33
