metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.538,0.549,0.544,0.573,0.576,0.576,0.568,0.571,0.57,0.55,0.548,0.577,0.588,0.589,0.589,0.583,0.583,0.582,0.575,0.574,0.577,0.587,0.564,0.568,0.585,0.575,0.579,0.572,0.551,0.562,0.523,0.458,0.482,0.509,0.444,0.461,0.499,0.435,0.49,0.522,0.509,0.49,0.588,0.589,0.589,0.581,0.581,0.581,0.575,0.572,0.585,0.506,0.556,0.516,0.522,0.529,0.537,0.528,0.534,0.543,0.539,0.538,0.54,0.534,0.588,0.589,0.588,0.581,0.582,0.581,0.575,0.575,0.577,0.524,0.503,0.527
TPR01,1.06,1.192,1.258,4.349,6.115,5.453,3.687,2.737,3.466,2.561,1.589,1.7,5.232,5.806,5.497,4.481,4.216,4.525,2.163,2.053,1.832,4.051,1.679,1.138,4.25,2.506,2.2,4.749,2.508,1.752,2.499,0.322,1.148,2.953,0.287,0.464,1.325,0.155,0.728,3.411,1.678,0.574,4.834,6.004,5.21,3.775,3.841,3.885,1.788,1.634,1.567,1.567,1.495,2.01,0.523,0.447,0.447,0.901,0.882,0.882,1.014,0.686,0.715,2.252,4.834,4.834,4.857,3.775,3.819,3.863,1.788,1.81,1.766,2.119,2.428,2.031
