metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.746,0.75,0.748,0.873,0.861,0.866,0.862,0.856,0.858,0.854,0.829,0.835,0.865,0.857,0.859,0.863,0.853,0.855,0.867,0.844,0.844,0.833,0.805,0.805,0.84,0.805,0.805,0.838,0.806,0.806,0.821,0.739,0.78,0.816,0.738,0.768,0.815,0.716,0.737,0.779,0.756,0.743,0.844,0.832,0.834,0.836,0.822,0.824,0.828,0.798,0.79,0.792,0.597,0.597,0.812,0.622,0.622,0.809,0.622,0.622,0.844,0.841,0.842,0.836,0.832,0.833,0.828,0.816,0.814,0.64,0.621,0.657
TPR01,0.85,0.74,0.96,63.24,57.45,60.11,59.2,52.93,55.8,60.37,17.61,14.04,57.23,51.65,52.77,57.34,45.74,46.65,55.96,19.2,17.45,42.96,2.77,2.77,43.57,2.45,2.45,45.93,1.54,1.54,42.22,14.31,20.59,28.55,11.44,11.95,14.73,2.39,1.01,32.86,17.37,9.89,45.05,28.78,28.67,32.93,14.63,15.64,19.63,4.84,3.72,23.6,0.0,0.0,33.15,0.15,0.15,32.3,0.19,0.19,45.05,40.05,40.59,32.93,23.67,24.26,19.63,8.51,6.7,11.7,8.99,21.54
