metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.557,0.563,0.558,0.587,0.588,0.587,0.587,0.587,0.586,0.57,0.564,0.588,0.597,0.598,0.597,0.598,0.598,0.598,0.589,0.589,0.591,0.591,0.565,0.556,0.586,0.574,0.576,0.585,0.57,0.576,0.545,0.502,0.508,0.546,0.481,0.489,0.539,0.478,0.519,0.529,0.522,0.504,0.597,0.597,0.596,0.596,0.595,0.595,0.589,0.585,0.594,0.515,0.543,0.499,0.525,0.524,0.522,0.521,0.522,0.522,0.533,0.535,0.535,0.52,0.597,0.597,0.597,0.596,0.597,0.597,0.589,0.588,0.59,0.525,0.511,0.533
TPR01,2.759,2.649,2.671,5.43,4.15,4.923,3.135,3.863,3.907,2.406,2.517,2.119,6.336,6.203,6.291,3.885,3.488,3.62,3.223,2.627,1.987,4.235,0.743,1.37,4.37,0.984,1.573,5.581,1.015,1.735,3.549,0.596,0.817,2.58,1.457,1.611,1.501,1.391,1.325,4.84,2.364,1.501,6.225,6.049,6.578,2.958,2.87,2.98,1.965,1.876,1.921,2.517,1.271,2.497,0.759,1.136,1.136,1.231,2.109,2.267,1.371,1.388,1.388,2.274,6.225,6.225,6.38,2.958,2.98,2.98,1.965,1.898,1.876,2.053,2.031,2.406
