metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.614,0.588,0.632,0.747,0.761,0.76,0.719,0.738,0.734,0.691,0.725,0.736,0.766,0.765,0.765,0.746,0.746,0.746,0.74,0.742,0.742,0.757,0.741,0.742,0.749,0.734,0.729,0.743,0.722,0.723,0.633,0.455,0.536,0.632,0.475,0.536,0.635,0.495,0.595,0.665,0.6,0.589,0.75,0.752,0.752,0.733,0.737,0.736,0.733,0.74,0.743,0.585,0.479,0.478,0.597,0.477,0.477,0.617,0.472,0.472,0.613,0.75,0.751,0.75,0.733,0.734,0.734,0.733,0.734,0.735,0.5,0.511,0.544
TPR01,3.57,3.4,3.83,17.51,15.34,16.91,11.37,12.83,13.66,8.69,9.57,10.4,21.71,21.57,21.83,15.37,15.43,15.09,8.14,8.23,7.86,24.74,6.09,5.54,17.71,3.54,1.71,22.97,0.2,0.26,5.29,0.89,1.54,4.29,0.11,1.14,2.89,0.11,4.0,10.14,3.66,1.97,17.94,17.86,19.11,12.57,14.06,13.26,7.0,9.23,8.09,2.2,1.54,1.54,5.26,0.17,0.17,3.37,0.4,0.4,3.54,17.94,18.23,18.06,12.57,12.91,12.63,7.0,7.63,7.51,2.51,1.26,3.86
