metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.598,0.576,0.63,0.745,0.759,0.757,0.715,0.732,0.73,0.686,0.718,0.73,0.762,0.761,0.761,0.742,0.742,0.742,0.734,0.735,0.736,0.748,0.527,0.528,0.748,0.534,0.527,0.743,0.534,0.567,0.626,0.463,0.534,0.64,0.484,0.552,0.636,0.496,0.602,0.653,0.601,0.585,0.746,0.748,0.747,0.731,0.732,0.733,0.727,0.733,0.738,0.505,0.604,0.571,0.596,0.523,0.521,0.598,0.522,0.52,0.627,0.52,0.521,0.608,0.746,0.747,0.746,0.731,0.731,0.731,0.727,0.728,0.729,0.501,0.511,0.549
TPR01,3.914,5.086,4.486,19.171,19.257,20.0,11.857,13.257,14.6,8.829,9.743,10.571,23.514,23.229,23.314,15.829,16.171,15.6,9.029,8.743,8.486,23.01,2.857,0.514,18.826,0.571,3.729,21.746,0.543,0.771,7.395,1.057,1.143,7.943,0.171,1.686,5.686,0.114,4.257,8.769,4.021,1.514,19.771,21.229,20.629,12.543,15.714,15.029,7.429,9.714,7.857,0.314,4.471,6.329,2.639,0.686,0.907,4.622,1.461,1.577,4.892,1.968,2.0,3.343,19.771,20.029,20.171,12.543,13.429,13.286,7.429,7.829,7.343,3.171,2.4,5.2
