domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.783, 0, 0)","(0.256, 25, 72)","(0.766, 0, 0)","(0.785, 0, 0)","(0.779, 0, '-')","(0.215, 0, 0)","(0.008, 25, 36)","(0.14, 0, 0)","(0.206, 0, 0)","(0.249, 0, '-')"
dm_mathematics,"(0.901, 0, 0)","(0.097, 100, 72)","(0.863, 0, 0)","(0.948, 0, 0)","(0.945, 25, 'γ=1')","(0.271, 0, 0)","(0.0, 0, 0)","(0.129, 0, 0)","(0.622, 0, 0)","(0.717, 25, 'γ=2')"
github,"(0.865, 25, 9)","(0.159, 25, 72)","(0.862, 100, 9)","(0.865, 0, 0)","(0.858, 0, '-')","(0.56, 100, 18)","(0.003, 25, 9)","(0.532, 25, 36)","(0.537, 100, 18)","(0.467, 100, 'γ=4')"
hackernews,"(0.586, 0, 0)","(0.44, 100, 72)","(0.58, 0, 0)","(0.588, 0, 0)","(0.568, 100, 'γ=4')","(0.036, 0, 0)","(0.008, 25, 72)","(0.025, 0, 0)","(0.059, 0, 0)","(0.039, 0, '-')"
pile_cc,"(0.548, 0, 0)","(0.47, 25, 72)","(0.547, 100, 9)","(0.549, 0, 0)","(0.536, 0, '-')","(0.047, 100, 72)","(0.016, 100, 72)","(0.039, 25, 9)","(0.038, 25, 36)","(0.019, 0, '-')"
pubmed_central,"(0.812, 0, 0)","(0.24, 100, 72)","(0.792, 0, 0)","(0.818, 0, 0)","(0.815, 0, '-')","(0.215, 25, 9)","(0.003, 25, 72)","(0.156, 0, 0)","(0.293, 100, 18)","(0.26, 0, '-')"
