domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.805, 0, 0)","(0.218, 100, 72)","(0.787, 0, 0)","(0.806, 100, 9)","(0.798, 0, '-')","(0.229, 0, 0)","(0.004, 0, 0)","(0.178, 25, 9)","(0.281, 100, 9)","(0.32, 0, '-')"
dm_mathematics,"(0.809, 0, 0)","(0.153, 100, 72)","(0.738, 0, 0)","(0.9, 0, 0)","(0.94, 25, 'γ=2')","(0.084, 0, 0)","(0.0, 0, 0)","(0.033, 0, 0)","(0.187, 0, 0)","(0.516, 25, 'γ=3')"
github,"(0.891, 100, 9)","(0.139, 25, 72)","(0.886, 100, 9)","(0.891, 0, 0)","(0.885, 0, '-')","(0.585, 25, 9)","(0.003, 25, 36)","(0.498, 25, 18)","(0.596, 100, 18)","(0.328, 0, '-')"
hackernews,"(0.597, 0, 0)","(0.438, 100, 72)","(0.589, 0, 0)","(0.599, 0, 0)","(0.577, 100, 'γ=1')","(0.056, 0, 0)","(0.008, 25, 9)","(0.06, 0, 0)","(0.061, 0, 0)","(0.049, 0, '-')"
pile_cc,"(0.558, 25, 18)","(0.443, 100, 72)","(0.556, 25, 36)","(0.558, 25, 36)","(0.548, 0, '-')","(0.058, 100, 72)","(0.014, 100, 72)","(0.042, 100, 36)","(0.061, 100, 18)","(0.042, 0, '-')"
pubmed_central,"(0.793, 0, 0)","(0.27, 25, 72)","(0.777, 0, 0)","(0.797, 0, 0)","(0.806, 100, 'γ=2')","(0.123, 0, 0)","(0.001, 0, 0)","(0.106, 0, 0)","(0.219, 0, 0)","(0.195, 25, 'γ=2')"
