domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.815, 0, 0)","(0.21, 100, 72)","(0.802, 25, 9)","(0.816, 0, 0)","(0.806, 0, '-')","(0.318, 0, 0)","(0.002, 0, 0)","(0.258, 0, 0)","(0.313, 0, 0)","(0.308, 25, 'γ=3')"
dm_mathematics,"(0.854, 0, 0)","(0.16, 100, 72)","(0.783, 0, 0)","(0.921, 0, 0)","(0.935, 0, '-')","(0.187, 0, 0)","(0.0, 0, 0)","(0.073, 0, 0)","(0.592, 0, 0)","(0.57, 0, '-')"
github,"(0.894, 25, 9)","(0.13, 100, 72)","(0.886, 25, 9)","(0.896, 0, 0)","(0.889, 0, '-')","(0.587, 25, 9)","(0.0, 0, 0)","(0.495, 25, 9)","(0.637, 25, 18)","(0.572, 0, '-')"
hackernews,"(0.594, 0, 0)","(0.43, 100, 72)","(0.589, 25, 9)","(0.594, 0, 0)","(0.556, 100, 'γ=4')","(0.047, 0, 0)","(0.014, 25, 72)","(0.055, 0, 0)","(0.04, 0, 0)","(0.034, 25, 'γ=1')"
pile_cc,"(0.551, 25, 9)","(0.455, 25, 72)","(0.547, 100, 18)","(0.551, 100, 18)","(0.545, 0, '-')","(0.055, 100, 72)","(0.009, 25, 72)","(0.047, 100, 72)","(0.059, 100, 9)","(0.034, 0, '-')"
pubmed_central,"(0.813, 100, 9)","(0.223, 25, 72)","(0.8, 25, 9)","(0.814, 0, 0)","(0.815, 100, 'γ=1')","(0.199, 0, 0)","(0.005, 25, 72)","(0.212, 25, 9)","(0.254, 0, 0)","(0.194, 0, '-')"
