domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.758, 0, 0)","(0.277, 25, 72)","(0.738, 0, 0)","(0.761, 0, 0)","(0.752, 0, '-')","(0.158, 0, 0)","(0.009, 25, 72)","(0.133, 0, 0)","(0.213, 0, 0)","(0.158, 0, '-')"
dm_mathematics,"(0.929, 0, 0)","(0.094, 25, 72)","(0.905, 0, 0)","(0.95, 0, 0)","(0.936, 0, '-')","(0.544, 0, 0)","(0.003, 0, 0)","(0.3, 0, 0)","(0.775, 0, 0)","(0.605, 0, '-')"
github,"(0.852, 100, 18)","(0.166, 25, 72)","(0.854, 25, 9)","(0.852, 0, 0)","(0.855, 0, '-')","(0.511, 100, 36)","(0.003, 25, 9)","(0.481, 25, 72)","(0.469, 25, 18)","(0.495, 25, 'γ=1')"
hackernews,"(0.584, 0, 0)","(0.429, 25, 72)","(0.578, 0, 0)","(0.586, 0, 0)","(0.551, 25, 'γ=3')","(0.042, 25, 18)","(0.008, 25, 72)","(0.032, 100, 36)","(0.053, 0, 0)","(0.036, 0, '-')"
pile_cc,"(0.542, 0, 0)","(0.477, 25, 72)","(0.543, 100, 18)","(0.541, 0, 0)","(0.522, 0, '-')","(0.041, 25, 72)","(0.015, 100, 36)","(0.035, 25, 36)","(0.034, 25, 36)","(0.013, 0, '-')"
pubmed_central,"(0.81, 100, 9)","(0.244, 25, 72)","(0.797, 0, 0)","(0.815, 0, 0)","(0.81, 0, '-')","(0.174, 25, 9)","(0.003, 25, 72)","(0.167, 25, 9)","(0.289, 100, 9)","(0.215, 0, '-')"
