feature,arxiv,dm_mathematics,github,hackernews,pile_cc,pubmed_central
apen_1000,1.7142857142857144,0.0,0.0,1.7660044150110374,1.0,1.1627906976744187
apen_600,0.8571428571428572,0.0,0.0,0.8830022075055187,0.8571428571428572,0.5813953488372093
apen_800,0.2857142857142857,0.0,0.0,0.6622516556291391,1.2857142857142856,0.29069767441860467
cal_200,15.428571428571427,71.42857142857143,59.57446808510638,3.3112582781456954,3.1428571428571432,21.802325581395348
cal_200_rep1_diff,10.285714285714285,38.095238095238095,46.808510638297875,3.3112582781456954,1.8571428571428572,31.686046511627907
cal_200_rep2_diff,15.428571428571427,52.38095238095239,55.85106382978723,3.7527593818984544,2.0,30.813953488372093
cal_300,11.428571428571429,65.07936507936508,56.38297872340425,3.3112582781456954,2.7142857142857144,27.325581395348834
cal_300_rep1_diff,17.42857142857143,36.507936507936506,53.191489361702125,3.3112582781456954,2.4285714285714284,28.488372093023255
cal_300_rep2_diff,15.714285714285714,0.0,54.25531914893617,3.090507726269316,2.571428571428571,29.651162790697676
cal_T,10.0,66.66666666666666,61.170212765957444,2.4282560706401766,2.571428571428571,27.61627906976744
cal_T_rep1_diff,14.571428571428571,20.634920634920633,11.702127659574469,2.207505518763797,2.4285714285714284,25.581395348837212
cal_T_rep2_diff,12.571428571428573,19.047619047619047,6.382978723404255,4.194260485651214,2.571428571428571,19.186046511627907
calppl_200,21.428571428571427,69.84126984126983,56.38297872340425,6.401766004415011,2.571428571428571,22.96511627906977
calppl_200_rep1_diff,23.142857142857142,25.396825396825395,51.59574468085106,6.622516556291391,3.0,22.38372093023256
calppl_200_rep2_diff,22.285714285714285,39.682539682539684,53.191489361702125,6.622516556291391,2.7142857142857144,22.96511627906977
calppl_300,21.142857142857142,73.01587301587301,55.85106382978723,5.518763796909492,2.571428571428571,25.290697674418606
calppl_300_rep1_diff,22.285714285714285,7.936507936507936,45.744680851063826,5.739514348785872,2.2857142857142856,23.25581395348837
calppl_300_rep2_diff,21.714285714285715,0.0,47.340425531914896,5.739514348785872,2.2857142857142856,25.0
calppl_T,7.428571428571429,82.53968253968253,51.59574468085106,3.9735099337748347,2.4285714285714284,24.12790697674419
calppl_T_rep1_diff,7.142857142857142,0.0,11.702127659574469,4.415011037527594,2.4285714285714284,22.96511627906977
calppl_T_rep2_diff,6.857142857142858,0.0,8.51063829787234,4.194260485651214,2.2857142857142856,23.25581395348837
cb_const1,0.0,0.0,0.0,1.3245033112582782,0.5714285714285714,0.0
