metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.713,0.712,0.713,0.836,0.843,0.841,0.824,0.832,0.83,0.824,0.835,0.818,0.84,0.84,0.84,0.826,0.824,0.825,0.828,0.826,0.821,0.802,0.707,0.72,0.813,0.721,0.741,0.823,0.747,0.742,0.739,0.557,0.626,0.729,0.54,0.619,0.718,0.522,0.605,0.588,0.551,0.547,0.831,0.836,0.835,0.811,0.817,0.816,0.807,0.817,0.794,0.485,0.446,0.406,0.641,0.555,0.555,0.688,0.582,0.579,0.713,0.596,0.592,0.831,0.833,0.832,0.811,0.813,0.812,0.807,0.81,0.804,0.613,0.638,0.61
TPR01,3.314,4.506,3.081,30.407,30.988,31.192,33.605,32.529,32.442,31.86,31.802,28.866,26.483,26.686,25.523,31.047,30.61,31.163,28.372,28.488,27.645,7.805,3.436,2.567,13.613,4.534,6.659,23.921,4.224,3.478,4.649,1.043,2.82,8.178,1.105,1.802,11.076,1.017,1.802,3.199,1.579,1.628,18.866,21.337,20.465,22.733,26.715,25.756,19.273,25.174,9.622,0.291,2.06,0.761,3.688,0.607,0.56,4.717,1.684,1.684,6.498,3.42,3.481,18.866,19.709,19.738,22.733,23.634,23.547,19.273,20.029,16.337,5.087,8.605,3.343
