metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.746,0.75,0.748,0.873,0.861,0.866,0.862,0.856,0.858,0.854,0.829,0.835,0.865,0.857,0.859,0.863,0.853,0.855,0.867,0.844,0.844,0.833,0.805,0.805,0.84,0.805,0.805,0.838,0.806,0.806,0.821,0.739,0.78,0.816,0.738,0.768,0.815,0.716,0.737,0.779,0.756,0.743,0.844,0.832,0.834,0.836,0.822,0.824,0.828,0.798,0.79,0.556,0.528,0.529,0.792,0.597,0.597,0.812,0.622,0.622,0.809,0.622,0.622,0.844,0.841,0.842,0.836,0.832,0.833,0.828,0.816,0.814,0.64,0.621,0.657
TPR01,0.851,0.745,0.957,63.245,57.447,60.106,59.202,52.926,55.798,60.372,17.606,14.043,57.234,51.649,52.766,57.34,45.745,46.649,55.957,19.202,17.447,42.965,2.766,2.766,43.572,2.447,2.447,45.93,1.543,1.543,42.223,14.309,20.585,28.553,11.436,11.949,14.734,2.394,1.011,32.855,17.368,9.894,45.053,28.777,28.67,32.926,14.628,15.638,19.628,4.84,3.723,0.745,0.106,1.136,23.601,0.0,0.0,33.151,0.147,0.147,32.304,0.187,0.187,45.053,40.053,40.585,32.926,23.67,24.255,19.628,8.511,6.702,11.702,8.989,21.543
