idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000
27,1,test,2.723522031758967,1.287462099140218,1.7570301352191153,4.5481476293905905,2.1499982837858815,2.9341537726072913,15.233882086377056,11.029783376962829,12.605175595759256,25.43983264670848,18.419194900445312,21.050022300307326,2.8220858046847592,1.315182140708974,1.814023568876026,4.275887582855695,1.9927002131954148,2.7485205589030692,16.81188042577947,12.29914423391885,14.071594586651031,25.472546099665863,18.635067021089164,21.320597858562166,2.766156372783766,1.3405648377067523,1.8123744890672178,4.510037564321358,2.1857035397392703,2.9549584060878553,15.897412701095146,11.737094611990644,13.301905673947429,25.919694621350782,19.13656730215866,21.68788968578385,0.6381909547738693,-0.0018090452261306789,-0.0018090452261306789,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.38190954773869346,-0.0030904522613065533,-0.0030904522613065533,0.41124260355029585,0.12468425790775528,0.19372291851092582,0.400593471810089,0.40201005025125625,0.11880203020113089,0.17663442420785058,0.3939393939393939,0.4046822742474916,0.11920648125917777,0.1877745990528309,0.3993288590604027,24.0,-3.0,-3.0,36.0,-7.0,-7.0,45.0,-7.0,-7.0,0.00045671624400469364,-5.818144091683731e-05,0.00017605996149657127,-0.008053871084554132,-0.006340008356667148,-0.0073692621902701205
241,1,test,2.6440911514745022,1.2286221445828236,1.6974319143927927,4.580201612117034,2.128268960834727,2.94036020143451,14.07065117956753,9.952233600254893,11.493565350092858,24.373750950398403,17.239661482408753,19.909618666554298,2.5462557329225803,1.1353300058710187,1.6007100201568638,3.7444937248861474,1.6696029498103218,2.353985323760094,12.75924022849627,8.659491332107233,10.185022449638716,18.763588571318042,12.734546076628284,14.97797419064517,2.651593671238394,1.2336383234789567,1.7040945170561286,4.468978097592799,2.079165713728579,2.8720694107687565,14.176613513353008,10.04794340374156,11.597362236149573,23.893168842729786,16.934736073721727,19.546116128341975,0.5728643216080402,-0.0021356783919597166,-0.0021356783919597166,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,0.3892405063291139,0.12383766272721819,0.17976682211858752,0.40634920634920635,0.371859296482412,0.10368887041724906,0.16150871217523333,0.38888888888888884,0.3846153846153846,0.11917298060870674,0.17549413878668607,0.3993288590604027,22.0,-11.0,-11.0,33.0,-15.0,-15.0,38.0,-15.0,-15.0,-0.00010614497159289161,0.0001144838324891407,-0.00017864256569035417,-0.004235625719608116,-0.004205657228030013,-0.004288083727594483
331,1,test,2.794536229448682,1.2883655097859832,1.7867851989005148,4.719249923903404,2.1757165893736805,3.017418713375042,16.355042007190015,11.845612187816204,13.61560882674735,27.619441800221548,20.00417952247107,22.993246694175987,2.9011859710092964,1.3362496088748876,1.8558155669824297,4.605057096840153,2.1210311251982343,2.945738995210206,18.195712165239392,13.41334157888468,15.35126024024447,28.88208280196729,21.291018379182034,24.367079746419794,2.7944474582438104,1.2882767385811114,1.7865409394454035,4.719100012266037,2.1755666777363136,3.0170062222422374,16.35359021484494,11.844160395471128,13.613731051613598,27.61699009791695,20.001727820166472,22.99007561696336,0.6884422110552764,-0.0015577889447235815,-0.0015577889447235815,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.39698492462311563,-0.0030150753768843908,-0.0030150753768843908,0.40157480314960625,0.0931268660179756,0.17251721152656962,0.40711462450592883,0.4120603015075377,0.10128335915164799,0.17666798097331404,0.43434343434343436,0.40157480314960625,0.0931268660179756,0.17251721152656962,0.40711462450592883,10.0,0.0,0.0,18.0,0.0,0.0,27.0,0.0,0.0,6.943543314432622e-05,0.00032800032147698214,0.000139900575114691,-0.004747965080403205,-0.005378804706158924,-0.0054668680244542855
240,1,test,2.327565106039784,1.0928286622521037,1.2644329849528442,5.072007544504604,2.3813878311762267,2.7553315791509743,10.252946278028054,6.815473843934745,7.3575206526137755,22.34224114316561,14.851629570365265,16.032806198233,2.5365817815179605,1.1025404532928922,1.5661505041276724,4.192697159533819,1.822380914533706,2.588678519219293,12.636403076861901,8.44078221998001,9.99732068634124,20.886616655970087,13.95170614872729,16.52449700221693,2.3828503687915044,1.077714902611775,1.5019585869076528,4.280569524775157,1.9360147951109727,2.6981291980376994,10.835744756352153,7.147556071655504,8.422694094303894,19.465409741949976,12.839921086806296,15.13058819336029,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.31658291457286436,-0.003417085427135591,-0.003417085427135591,0.368421052631579,0.0987067669172933,0.12892936152698464,0.34403669724770647,0.3668341708542714,0.09365121346078764,0.15147523930168372,0.3484848484848485,0.3612040133779264,0.08574491488043057,0.15764450281062936,0.33221476510067116,20.0,0.0,0.0,28.0,0.0,0.0,33.0,0.0,0.0,0.00017647454269714176,0.00033254442046307467,-9.265013086497026e-05,-0.013470253482437577,-0.01290345272951754,-0.015668214293075522
447,1,test,2.4164592308728037,1.0844286804059042,1.4270029434835099,4.112414562632156,1.845518534085277,2.4285233579467067,11.206110735210267,7.417381948070309,8.516339123258128,19.070949920931234,12.623159186853599,14.493402819856723,2.1295767474215443,0.8433582833844435,1.231325317389476,3.178472757345588,1.2587437065439453,1.8377989811783224,8.411305950989668,4.792230966503414,5.955999870042085,12.554187986551742,7.1525835320946465,8.889552044838933,2.3751095385152903,1.035712021303595,1.453742832185602,3.830821836314984,1.6705032601670888,2.3447465035251644,10.752190900599997,6.935447610223882,8.239468703002306,17.34224338806451,11.186205822941744,13.28946565000372,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.36180904522613067,-0.0031909547738693256,-0.0031909547738693256,0.2814070351758794,-0.003592964824120637,-0.003592964824120637,0.3756756756756757,0.10172155961629648,0.14498163853002566,0.41734417344173447,0.3316582914572864,0.06850039672044428,0.11296046174109275,0.38383838383838387,0.36789297658862874,0.0941033271729359,0.14876060728940743,0.4161073825503355,15.0,-2.0,-2.0,24.0,-4.0,-4.0,31.0,-2.0,-2.0,-0.0009535831350994972,-0.0002070975870693852,-0.0003078255919412973,-0.007669006883983087,-0.008658280713444988,-0.0074832117087888506
289,1,test,2.5244786158023484,1.1919629874998465,1.2921373742134348,4.371431720745979,2.0640241437956903,2.237487879612235,12.484384405678554,8.693817344361861,9.055135560606777,21.618180349538967,15.054367533803077,15.680032533256586,2.7545015365704564,1.2071085487993998,1.6929653712596047,4.3161087069096125,1.8914535528431538,2.6527567628398527,15.713206491585147,11.014003172497484,12.82239815194998,24.621481037995625,17.258162451393694,20.091789230220837,2.582159927932619,1.1577579003517044,1.6095107578389762,3.9391113186319036,1.7661714908426513,2.45532508466252,13.225673833405509,9.070301531745372,10.580731745619467,20.175900388715547,13.83683754077483,16.14101424459296,0.5707070707070707,-0.004292929292929237,-0.004292929292929237,0.4747474747474747,-0.005252525252525286,-0.005252525252525286,0.38383838383838387,-0.006161616161616146,-0.006161616161616146,0.40638297872340423,0.13008117213466885,0.1502734968074707,0.38592750533049036,0.4040404040404041,0.1294812100857441,0.19430886041624307,0.41624365482233505,0.4161073825503355,0.14307555675469064,0.21186631112176413,0.4006734006734006,21.0,-9.0,-9.0,30.0,-9.0,-9.0,38.0,-12.0,-12.0,-0.00013592436729269674,0.00018573872598696815,-2.4333651972083894e-05,-0.04206179029337864,-0.04186523606538639,-0.041120899201859906
10,1,test,2.7367048521361133,1.256321492248315,1.7333821545397783,4.689380746633232,2.1527238542849503,2.970173745887079,15.436037177044767,11.041407094117215,12.708708298105222,26.449858297963193,18.91960026397382,21.776543408104622,2.5690226393501976,1.1061175064400373,1.5648566438415106,4.014097873984683,1.728308603812558,2.44508850600236,13.053060656695024,8.734573555292664,10.32343085696108,20.395407276085976,13.64777118014479,16.13036071400169,2.6930639561257013,1.2218618837198958,1.6941714976821616,4.56451517987407,2.0709523452879592,2.8714771147155287,14.776882349011885,10.422415968865558,12.06160946406746,25.045563303409974,17.665111811636535,20.443405871300783,0.5728643216080402,-0.0021356783919597166,-0.0021356783919597166,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.31658291457286436,-0.003417085427135591,-0.003417085427135591,0.36392405063291144,0.08746275521427005,0.1470819453697535,0.40634920634920635,0.3467336683417085,0.0860820392690268,0.1363830840345298,0.38383838383838387,0.36454849498327757,0.09242829464938773,0.14764081978861687,0.3993288590604027,13.0,0.0,0.0,22.0,1.0,1.0,30.0,0.0,0.0,-0.00031709926042481067,-0.00013356707519603247,-0.00016174176582043885,0.00043990332195509296,3.7795904697546234e-05,-9.98832418286355e-05
38,1,test,2.3439713303032192,1.0967705052497656,1.3542916971104093,4.499091889918501,2.1051756143419667,2.5994698451645295,10.422545854206508,6.941959315973474,7.7321734259600206,20.005360525846612,13.324613852934867,14.841375533240797,2.7330905174992712,1.2333650802476488,1.729138866062296,4.408210512095599,1.9892985165284665,2.7889336549391874,15.380346875538475,10.899888141158996,12.65130209307034,24.807011089578186,17.580464743804832,20.405325956565065,2.472541437835123,1.1413786648334874,1.5727244359873147,4.312572275293819,1.990776740988641,2.743124016256944,11.852531077781537,8.067088637989741,9.393378028267573,20.673019321711983,14.070503438354201,16.383798886513212,0.6130653266331658,-0.001934673366834172,-0.001934673366834172,0.457286432160804,-0.0027135678391959628,-0.0027135678391959628,0.3467336683417085,-0.003266331658291488,-0.003266331658291488,0.36633663366336633,0.1104651874334529,0.14639528468975926,0.32754342431761785,0.3869346733668342,0.10873918464502963,0.1749146399778525,0.3484848484848485,0.37792642140468224,0.1108145683162014,0.1721422167328246,0.3422818791946308,20.0,-8.0,-8.0,29.0,-6.0,-6.0,39.0,-10.0,-10.0,0.0005018015174670545,0.000897797463579794,0.0001268275790833405,-0.011103396993213721,-0.015288840939318149,-0.01336582005338105
294,1,test,2.566725595561338,1.170756872467699,1.6135756725433241,4.379310165622695,1.9975284782825176,2.7530595237723725,13.023111615086577,8.984226375532764,10.429244328192517,22.219845075225038,15.328757372687345,17.794226147586205,2.546515586763404,1.0962677006757302,1.5396969609369675,3.829346747012637,1.6485228581589926,2.3153337758450636,12.762556196890538,8.498384783953536,10.025676086447957,19.191813829910583,12.779525990907572,15.076204641275122,2.5495034832397794,1.159714778121818,1.5940617760188496,4.202478269076559,1.911617766134865,2.6275743560750273,12.800746419384371,8.786744594042283,10.200927731359066,21.100131460523688,14.483644935234532,16.814716040701754,0.5979899497487438,-0.0020100502512562235,-0.0020100502512562235,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.3668341708542714,-0.0031658291457286047,-0.0031658291457286047,0.406060606060606,0.11407876037225506,0.18227028347996088,0.43768996960486317,0.3869346733668342,0.10122038765254848,0.16155904732342852,0.43939393939393945,0.3946488294314381,0.10583413827951826,0.17106707192309545,0.4295302013422819,16.0,-6.0,-6.0,25.0,-7.0,-7.0,34.0,-10.0,-10.0,-0.0006104399486543197,-0.00010878811370877048,-0.0001363066811651076,-0.01121631892281627,-0.013660542250911512,-0.011844418368771592
130,1,test,2.4679620500948873,1.1036393991408442,1.5335113684272095,4.011900394230078,1.7940678384137896,2.492864451993047,11.798377831266116,7.885306192479417,9.252563220334508,19.179353536134016,12.818293952703506,15.04089660935894,2.398669758182698,1.0369283470310795,1.473459732921258,3.6902611664349196,1.5952743800478144,2.266861127571166,11.008522639131312,7.105538551812767,8.486124667107998,16.936188675586635,10.931597772019643,13.055576410935382,2.374564032412928,1.0526139561722696,1.4716391914682143,3.935741490187173,1.7446640157551427,2.439180980334057,10.746327114360952,6.995598657648118,8.27951952447557,17.81159190225572,11.594914902179202,13.722960537804811,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.347953216374269,0.1041575959363128,0.15831489770369223,0.3548387096774194,0.33668341708542715,0.09608191332602867,0.14636622175988456,0.3434343434343434,0.34448160535117056,0.1057503866533408,0.1564949535157979,0.3489932885906041,21.0,-12.0,-12.0,34.0,-19.0,-19.0,39.0,-19.0,-19.0,0.0009211198328797402,-0.00047050429422647083,0.0002899192140520571,-0.02012494609571025,-0.018117516633509467,-0.021470137867129147
