metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.684,0.69,0.687,0.804,0.814,0.81,0.79,0.801,0.798,0.796,0.808,0.794,0.809,0.81,0.81,0.795,0.794,0.794,0.799,0.798,0.794,0.765,0.757,0.76,0.779,0.771,0.773,0.8,0.789,0.795,0.66,0.485,0.55,0.654,0.464,0.542,0.651,0.469,0.535,0.54,0.501,0.497,0.801,0.809,0.806,0.781,0.79,0.787,0.779,0.791,0.777,0.483,0.442,0.423,0.617,0.482,0.482,0.645,0.52,0.52,0.679,0.533,0.533,0.801,0.803,0.802,0.781,0.783,0.782,0.779,0.782,0.778,0.616,0.609,0.653
TPR01,4.157,3.837,3.314,17.355,20.029,20.407,16.657,21.657,18.023,21.453,29.041,15.0,20.872,23.692,22.965,20.61,22.5,22.035,24.302,27.645,21.744,5.791,3.294,3.952,13.933,6.685,9.937,19.224,9.29,17.531,3.885,0.029,0.707,4.717,0.436,1.366,8.284,0.32,1.163,2.068,2.069,1.831,19.797,19.564,20.262,19.302,21.25,20.669,19.244,21.86,8.459,0.436,1.192,0.911,2.541,0.18,0.18,2.399,0.167,0.167,5.492,0.083,0.083,19.797,20.959,20.523,19.302,20.523,19.913,19.244,20.785,15.523,3.227,4.012,3.605
