idx,membership,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000
122,1,3.189827073831111,1.4090432802162571,1.9512548802456782,5.653693503273073,2.4974077449350207,3.458431063607857,24.284227701521562,18.349721677404997,20.833544663145318,43.041700133041665,32.52329980064196,36.925661920195495,3.2266218153076553,1.4210321029543769,1.9720267111442578,5.162594904492249,2.273651364727003,3.1552427378308123,25.194401705850314,19.11084376566392,21.68798335316115,40.3110427293605,30.57735002506227,34.70077336505784,3.189827073831111,1.4090432802162571,1.9512548802456782,5.653693503273073,2.4974077449350207,3.458431063607857,24.284227701521562,18.349721677404997,20.833544663145318,43.041700133041665,32.52329980064196,36.925661920195495,0.6884422110552764,-0.0015577889447235815,-0.0015577889447235815,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.4371859296482412,-0.002814070351758735,-0.002814070351758735,0.41015625,0.10411336500974655,0.15690949675324672,0.3529411764705882,0.42211055276381915,0.10882734474376898,0.1783709868205804,0.3484848484848485,0.41015625,0.10411336500974655,0.15690949675324672,0.3529411764705882,27.0,0.0,0.0,35.0,0.0,0.0,45.0,0.0,0.0,2.702978899820123e-05,0.0006472904429162458,0.0006554642874537665,-0.007653828045040889,-0.008639046900448477,-0.00893701430318572
122,0,3.152179998617906,1.377598885631753,1.9044365382252713,5.49524427566544,2.4015895011548207,3.3200337511306866,23.38699266087928,17.489182558128245,19.904516920862054,40.77090699169329,30.48916317620218,34.69985302781299,3.616144546911345,1.5859490418121558,2.209348247156866,6.181443669933923,2.711024003097702,3.7766636703536176,37.193891727066294,29.578316630054296,33.111037538938845,63.579302097549224,50.56122500863982,56.600064169126235,3.2167413015429394,1.4117189458328125,1.9441923492652435,5.744180895612391,2.5209266889871653,3.4717720522593636,24.946693828740848,18.8665864566219,21.376753245590844,44.54766755132294,33.690332958253386,38.17277365284079,0.7185929648241206,-0.0014070351758793676,-0.0014070351758793676,0.5778894472361809,-0.002110552763819218,-0.002110552763819218,0.49246231155778897,-0.002537688442211028,-0.002537688442211028,0.42153846153846153,0.12507148765213283,0.17486497126210532,0.3827160493827161,0.4371859296482412,0.1264089872923515,0.19344636370500246,0.4292929292929293,0.42140468227424754,0.12424274571331262,0.1778006778248593,0.3825503355704698,20.0,1.0,1.0,34.0,3.0,3.0,40.0,3.0,3.0,0.0010498602406965412,0.0004426263897194105,0.00048676877025108356,-0.002815776147390814,-0.0034933945993707027,-0.004319624740314332
328,1,3.2732692797472525,1.4176447266172043,1.9753103706711033,6.137379899526098,2.658083862407258,3.703706945008318,26.3974992357586,20.001807783135348,22.735684298221425,49.495311067047375,37.50338959337878,42.62940805916517,3.3791086823496985,1.4514321597075486,2.050354056495907,5.679174256049913,2.43938178102109,3.4459732041948015,29.344604089890463,22.471082887084247,25.56826658510166,49.318662335950364,37.7665258606458,42.97187661361624,3.3280864224386058,1.4910360563553555,2.0646120085435027,6.014614016455312,2.694643475341004,3.7312265214641616,27.884930638856083,21.606937496540958,24.347239074769615,50.394452961788105,39.04868222266438,44.00103447247521,0.6783919597989949,-0.0016080402010050232,-0.0016080402010050232,0.6030150753768844,-0.0019849246231156137,-0.0019849246231156137,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.4299363057324841,0.09448320557350154,0.1619278311562129,0.4408945686900958,0.42211055276381915,0.08627095376632543,0.1650153941661564,0.48989898989898994,0.4247491638795987,0.09586769476440671,0.17224638301196804,0.459731543624161,15.0,0.0,0.0,29.0,0.0,0.0,35.0,-1.0,-1.0,-0.00026836239073902286,-6.332695124437474e-05,0.00010474856000168423,0.0004478011750661537,4.5542954798527546e-05,-9.287412789138472e-05
328,0,3.650032379934865,1.6281572316068473,2.267862731529171,6.491843304312724,2.8957939333578926,4.03355585821974,38.47591187638253,30.9234382039791,34.49237674746436,68.43215755156608,54.999543662791396,61.347155786561615,3.6992052931282386,1.6301653074786708,2.285577095058636,6.064270972341375,2.6724021434076572,3.7468476968174365,40.41517337839524,32.49795455376419,36.304330044987424,66.25438258753317,53.275335334039646,59.515295155717084,3.650032379934865,1.6281572316068473,2.267862731529171,6.491843304312724,2.8957939333578926,4.03355585821974,38.47591187638253,30.9234382039791,34.49237674746436,68.43215755156608,54.999543662791396,61.347155786561615,0.7638190954773869,-0.001180904522613102,-0.001180904522613102,0.592964824120603,-0.0020351758793969443,-0.0020351758793969443,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.42741935483870963,0.11756019990913213,0.17674911355184642,0.40485829959514175,0.4371859296482412,0.1213964559640307,0.18009077105057847,0.41414141414141414,0.42741935483870963,0.11756019990913213,0.17674911355184642,0.40485829959514175,26.0,3.0,3.0,39.0,4.0,4.0,46.0,4.0,4.0,0.0003685588340016153,0.00010498623468696474,0.00027206116291885943,-3.085650767697956e-05,-0.00010133182060556578,-0.00011602607612637428
157,1,3.1998650963547863,1.445340444116269,1.9862182206721564,5.424370243553301,2.450122571042017,3.367011636112693,24.529220892583083,18.748521646266724,21.16348417109554,41.58162044357667,31.78225327201364,35.87606674993201,3.4642194647285804,1.5321566903548065,2.1181566709730095,5.132176984783082,2.2698617634886022,3.138009882922977,31.95151075648287,25.047774342079432,28.109242846752217,47.33557149108573,37.10781384011767,41.6433227359292,3.253415388008424,1.4810119740654852,2.0395790912288634,5.3627726175963035,2.4412285286793716,3.3619435569706546,25.878574526822792,19.993594104827565,22.51220020340776,42.656990978279325,32.95647379916631,37.1080223133095,0.7386934673366834,-0.0013065326633165952,-0.0013065326633165952,0.5979899497487438,-0.0020100502512562235,-0.0020100502512562235,0.4824120603015075,-0.0025879396984924696,-0.0025879396984924696,0.44303797468354433,0.1397204391385206,0.1988274483677549,0.40634920634920635,0.457286432160804,0.13397816148411223,0.19017457907232316,0.4242424242424242,0.4381270903010034,0.13428735741285647,0.19229839174705454,0.40604026845637586,21.0,10.0,10.0,33.0,13.0,13.0,41.0,9.0,9.0,0.000972064790000675,0.00010409771938435017,0.00028217876322663186,-0.004204034307158544,-0.0034408746477625485,-0.004271195822407314
157,0,3.5963259890471417,1.615724673834077,2.221219328232487,6.021277227376071,2.70518473961934,3.718955789554964,36.46401883525847,29.216919368878216,32.50852023813428,61.05118582131847,48.91747071475038,54.42855102727626,3.6688025369117008,1.6262588385387047,2.237749659482369,5.965532580344229,2.644323314697081,3.6386173324916573,39.20493128266593,31.494734591906358,35.02183011571612,63.74785574417225,51.2109505559453,56.9460652288067,3.5963259890471417,1.615724673834077,2.221219328232487,6.021277227376071,2.70518473961934,3.718955789554964,36.46401883525847,29.216919368878216,32.50852023813428,61.05118582131847,48.91747071475038,54.42855102727626,0.728643216080402,-0.001356783919598037,-0.001356783919598037,0.5829145728643217,-0.002085427135678275,-0.002085427135678275,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.43493150684931503,0.1152733871911954,0.18208412643929228,0.4226804123711341,0.42211055276381915,0.11634614173625024,0.1783709868205804,0.41414141414141414,0.43493150684931503,0.1152733871911954,0.18208412643929228,0.4226804123711341,28.0,1.0,1.0,38.0,-1.0,-1.0,50.0,2.0,2.0,0.0004902875173654128,0.00019587194811934442,2.5799962092133295e-06,-0.000335773069539691,0.00013076050589333477,-1.577387457896151e-05
349,1,3.672798729994718,1.731259910952897,2.361444880679308,5.932982563837621,2.7966506253854493,3.814641730328112,39.36191521802256,32.392447745620586,35.65072050699831,63.58463227526721,52.32626174292556,57.58962543438189,3.635431450216015,1.6245368585690318,2.2665104296238208,5.770526111453992,2.578629934236558,3.597635602577493,37.91820918797087,30.44821223197838,33.987102364926095,60.18763363169979,48.3304956063149,53.94778153162873,3.672798729994718,1.731259910952897,2.361444880679308,5.932982563837621,2.7966506253854493,3.814641730328112,39.36191521802256,32.392447745620586,35.65072050699831,63.58463227526721,52.32626174292556,57.58962543438189,0.7035175879396984,-0.001482412060301641,-0.001482412060301641,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.507537688442211,-0.0024623115577889765,-0.0024623115577889765,0.44852941176470584,0.13476794387479762,0.21625557313389898,0.4538745387453874,0.44723618090452266,0.1389655042127933,0.211843860370299,0.4545454545454546,0.44852941176470584,0.13476794387479762,0.21625557313389898,0.4538745387453874,22.0,13.0,13.0,38.0,22.0,22.0,45.0,23.0,23.0,-5.2980599520432035e-05,-0.0001377077877273131,-6.514844888315198e-05,-0.00019717463232815646,0.00020823100688893703,5.431726479621091e-05
349,0,3.6919384732113016,1.7171596945293053,2.3462563824132117,5.696700762428192,2.6495958727414552,3.620298826626838,40.12254810683121,32.91752253458,36.2817426814535,61.909523154089015,50.792091222712145,55.98311908374814,4.0051539255746045,1.868254915891526,2.5466350606611483,5.889932243492065,2.747433699840479,3.7450515597958054,54.88027122624499,46.407149447459076,50.580684684846105,80.70628121506616,68.24580801096923,74.38335983065602,3.6919384732113016,1.7171596945293053,2.3462563824132117,5.696700762428192,2.6495958727414552,3.620298826626838,40.12254810683121,32.91752253458,36.2817426814535,61.909523154089015,50.792091222712145,55.98311908374814,0.7738693467336684,-0.0011306532663316604,-0.0011306532663316604,0.6633165829145728,-0.0016834170854271857,-0.0016834170854271857,0.5628140703517588,-0.0021859296482411583,-0.0021859296482411583,0.44405594405594406,0.12119381491109238,0.19289315335826962,0.43157894736842106,0.4522613065326633,0.11642170753516956,0.19516614793500053,0.45959595959595956,0.44405594405594406,0.12119381491109238,0.19289315335826962,0.43157894736842106,25.0,0.0,0.0,34.0,0.0,0.0,45.0,0.0,0.0,0.0009097384558582599,0.0004339554989501033,9.467893966251761e-06,-0.00029419353837489837,0.00015400165618917327,5.253467235455389e-06
430,1,3.2513010909502533,1.4697465738131554,1.9907292507283225,5.4292061279504225,2.4542658098602446,3.3242320981061457,25.823917333963067,19.884835683415854,22.296479292273464,43.12223516532588,33.20482130867049,37.23191996652363,3.686678627627579,1.6755782218891118,2.3246916076094744,5.4617461150038205,2.4823381065023877,3.4439875668288504,39.912063742262546,32.44052919740988,36.00812092971551,59.128983321870436,48.060043255422045,53.34536434031927,3.285343503074901,1.5015527644405462,2.0590987736689876,5.385809021434264,2.4615619089189282,3.3755717601130946,26.718160509061654,20.76578289563526,23.3097545224259,43.80026312960927,34.04226704202502,38.21271233184574,0.7688442211055276,-0.0011557788944723812,-0.0011557788944723812,0.6381909547738693,-0.0018090452261306789,-0.0018090452261306789,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.4367816091954023,0.12257787892280547,0.18164964438601816,0.4034582132564841,0.4623115577889447,0.1314844901197718,0.20354695010947899,0.4545454545454546,0.4481605351170569,0.13430410773809198,0.20233183656310805,0.412751677852349,24.0,9.0,9.0,38.0,11.0,11.0,47.0,12.0,12.0,0.000894920079351709,0.00027080284522546714,0.0005884447487800511,0.0003135376721550287,-8.615689689239758e-05,0.0001481019214590873
430,0,2.9257973453981414,1.2796286759766013,1.7693573534539973,5.8726435925617375,2.5684633136508763,3.551443896501189,18.649089889307305,13.462021555048025,15.470492611257141,37.43234589292617,27.020892186031645,31.052283730508936,3.1557538880774723,1.277772275221843,1.8254056465691666,5.898605398275649,2.3883593929380242,3.4119731711573205,23.470724722884274,16.93043403051621,19.688364389768996,43.87051350071827,31.645671085077026,36.800681102371954,2.9257973453981414,1.2796286759766013,1.7693573534539973,5.8726435925617375,2.5684633136508763,3.551443896501189,18.649089889307305,13.462021555048025,15.470492611257141,37.43234589292617,27.020892186031645,31.052283730508936,0.6884422110552764,-0.0015577889447235815,-0.0015577889447235815,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.4316546762589928,0.13003887733619202,0.18883170975181574,0.38267148014440433,0.4170854271356784,0.10380221911562826,0.15832081945621268,0.38888888888888884,0.4316546762589928,0.13003887733619202,0.18883170975181574,0.38267148014440433,24.0,13.0,13.0,37.0,19.0,19.0,45.0,19.0,19.0,0.0006108620766210897,0.00029606034754388013,1.9199832513078264e-05,-0.00023875416349117273,0.00018498985658865763,3.328992298534672e-05
