domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.76, 0, 0)","(0.272, 25, 72)","(0.736, 100, 9)","(0.763, 25, 9)","(0.763, 0, '-')","(0.151, 0, 0)","(0.01, 25, 36)","(0.143, 0, 0)","(0.212, 0, 0)","(0.166, 25, 'γ=3')"
dm_mathematics,"(0.934, 0, 0)","(0.095, 25, 72)","(0.908, 0, 0)","(0.95, 0, 0)","(0.934, 0, '-')","(0.501, 0, 0)","(0.011, 0, 0)","(0.316, 0, 0)","(0.756, 0, 0)","(0.644, 0, '-')"
github,"(0.854, 25, 18)","(0.165, 100, 72)","(0.853, 25, 18)","(0.853, 0, 0)","(0.859, 0, '-')","(0.516, 25, 36)","(0.003, 25, 18)","(0.476, 25, 72)","(0.485, 100, 18)","(0.481, 25, 'γ=1')"
hackernews,"(0.579, 100, 9)","(0.431, 25, 72)","(0.573, 100, 9)","(0.582, 100, 9)","(0.558, 25, 'γ=3')","(0.045, 100, 9)","(0.011, 100, 72)","(0.034, 0, 0)","(0.051, 0, 0)","(0.031, 0, '-')"
pile_cc,"(0.543, 0, 0)","(0.475, 100, 72)","(0.544, 100, 18)","(0.543, 0, 0)","(0.521, 0, '-')","(0.039, 25, 9)","(0.014, 25, 36)","(0.04, 25, 9)","(0.034, 100, 72)","(0.012, 0, '-')"
pubmed_central,"(0.81, 25, 9)","(0.242, 25, 72)","(0.788, 0, 0)","(0.813, 0, 0)","(0.815, 0, '-')","(0.206, 25, 9)","(0.003, 25, 72)","(0.181, 100, 9)","(0.281, 25, 9)","(0.256, 0, '-')"
