domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.804, 0, 0)","(0.219, 25, 72)","(0.786, 25, 9)","(0.806, 25, 9)","(0.802, 0, '-')","(0.237, 0, 0)","(0.005, 100, 72)","(0.188, 100, 9)","(0.279, 100, 9)","(0.321, 25, 'γ=1')"
dm_mathematics,"(0.825, 0, 0)","(0.151, 100, 72)","(0.757, 0, 0)","(0.906, 0, 0)","(0.928, 25, 'γ=1')","(0.078, 0, 0)","(0.0, 0, 0)","(0.029, 0, 0)","(0.181, 0, 0)","(0.429, 25, 'γ=3')"
github,"(0.891, 100, 9)","(0.14, 100, 72)","(0.886, 100, 9)","(0.891, 0, 0)","(0.884, 0, '-')","(0.59, 100, 9)","(0.003, 25, 18)","(0.499, 100, 18)","(0.594, 25, 9)","(0.344, 0, '-')"
hackernews,"(0.596, 0, 0)","(0.435, 25, 72)","(0.589, 0, 0)","(0.598, 0, 0)","(0.574, 25, 'γ=3')","(0.057, 0, 0)","(0.008, 25, 9)","(0.059, 0, 0)","(0.061, 0, 0)","(0.042, 0, '-')"
pile_cc,"(0.559, 100, 18)","(0.442, 0, 0)","(0.557, 100, 36)","(0.559, 100, 36)","(0.552, 0, '-')","(0.06, 100, 72)","(0.012, 100, 36)","(0.045, 100, 72)","(0.062, 25, 18)","(0.042, 25, 'γ=3')"
pubmed_central,"(0.794, 0, 0)","(0.272, 25, 72)","(0.778, 0, 0)","(0.797, 0, 0)","(0.808, 100, 'γ=3')","(0.14, 0, 0)","(0.001, 25, 9)","(0.117, 0, 0)","(0.22, 0, 0)","(0.217, 25, 'γ=2')"
