domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.801, 0, 0)","(0.23, 100, 72)","(0.781, 100, 9)","(0.803, 25, 9)","(0.797, 0, '-')","(0.286, 0, 0)","(0.004, 0, 0)","(0.226, 0, 0)","(0.247, 0, 0)","(0.265, 0, '-')"
dm_mathematics,"(0.912, 0, 0)","(0.11, 25, 72)","(0.868, 0, 0)","(0.947, 0, 0)","(0.927, 25, 'γ=1')","(0.322, 0, 0)","(0.0, 0, 0)","(0.214, 0, 0)","(0.603, 0, 0)","(0.608, 25, 'γ=1')"
github,"(0.87, 25, 9)","(0.15, 100, 72)","(0.866, 100, 18)","(0.874, 0, 0)","(0.88, 0, '-')","(0.519, 25, 9)","(0.0, 0, 0)","(0.471, 100, 36)","(0.566, 25, 18)","(0.621, 25, 'γ=1')"
hackernews,"(0.58, 0, 0)","(0.438, 25, 72)","(0.576, 0, 0)","(0.578, 0, 0)","(0.574, 25, 'γ=2')","(0.041, 0, 0)","(0.012, 0, 0)","(0.039, 0, 0)","(0.038, 100, 9)","(0.025, 100, 'γ=1')"
pile_cc,"(0.542, 0, 0)","(0.466, 100, 72)","(0.537, 100, 9)","(0.544, 100, 9)","(0.528, 0, '-')","(0.037, 100, 72)","(0.014, 0, 0)","(0.028, 25, 72)","(0.044, 25, 36)","(0.02, 0, '-')"
pubmed_central,"(0.829, 100, 9)","(0.212, 25, 72)","(0.814, 100, 9)","(0.829, 0, 0)","(0.827, 0, '-')","(0.283, 25, 9)","(0.004, 25, 72)","(0.256, 25, 9)","(0.306, 25, 18)","(0.248, 100, 'γ=1')"
