metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.654,0.652,0.654,0.906,0.9,0.903,0.903,0.901,0.901,0.903,0.889,0.889,0.903,0.896,0.897,0.903,0.894,0.895,0.907,0.886,0.884,0.878,0.839,0.839,0.879,0.84,0.84,0.882,0.842,0.842,0.865,0.827,0.847,0.856,0.822,0.843,0.848,0.798,0.807,0.834,0.801,0.78,0.884,0.882,0.883,0.875,0.875,0.875,0.865,0.855,0.847,0.828,0.552,0.552,0.863,0.552,0.552,0.861,0.576,0.576,0.713,0.884,0.883,0.884,0.875,0.875,0.875,0.865,0.859,0.855,0.69,0.676,0.707
TPR01,1.702,2.819,2.128,66.383,64.787,65.372,65.213,63.936,65.16,66.383,37.181,31.543,69.574,63.191,63.723,68.67,60.266,61.277,66.489,34.734,30.904,52.717,3.564,3.564,55.851,3.351,3.351,58.22,2.819,2.819,51.668,49.84,50.585,38.246,30.904,36.223,26.596,17.021,12.34,43.128,23.785,16.17,54.468,54.096,53.777,45.691,43.351,44.84,32.979,19.415,14.894,27.24,0.691,0.691,52.153,0.405,0.405,50.837,0.19,0.19,0.0,54.468,53.777,54.681,45.691,44.628,45.638,32.979,20.798,16.915,5.638,3.404,10.213
