metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.728,0.733,0.729,0.881,0.875,0.878,0.875,0.873,0.874,0.87,0.854,0.86,0.878,0.87,0.872,0.874,0.866,0.868,0.878,0.858,0.858,0.849,0.818,0.818,0.852,0.815,0.815,0.853,0.818,0.818,0.837,0.771,0.803,0.832,0.773,0.804,0.826,0.752,0.761,0.805,0.778,0.765,0.857,0.852,0.853,0.847,0.842,0.843,0.838,0.819,0.81,0.555,0.526,0.503,0.802,0.587,0.587,0.825,0.587,0.587,0.827,0.622,0.622,0.765,0.857,0.855,0.856,0.847,0.845,0.846,0.838,0.828,0.826,0.653,0.637,0.672
TPR01,0.372,0.053,0.638,64.628,58.457,64.521,62.713,60.16,62.606,62.181,33.723,30.372,62.819,54.574,56.011,60.691,50.16,51.862,61.223,32.819,29.734,46.989,2.766,2.766,46.87,2.76,2.76,49.194,2.021,2.021,42.438,14.255,14.202,32.823,6.649,7.872,19.734,1.755,1.117,35.062,17.595,14.043,48.245,39.681,41.915,36.383,27.074,28.298,24.947,8.83,6.223,5.426,0.0,0.16,4.442,0.528,0.528,4.811,0.0,0.0,2.836,0.0,0.0,0.106,48.245,45.585,46.383,36.383,31.968,33.404,24.947,13.564,10.213,11.702,6.755,15.16
