metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.548,0.564,0.554,0.568,0.575,0.575,0.56,0.572,0.569,0.539,0.551,0.575,0.59,0.591,0.591,0.582,0.584,0.583,0.574,0.575,0.577,0.59,0.564,0.565,0.579,0.569,0.569,0.581,0.579,0.579,0.543,0.486,0.5,0.53,0.471,0.492,0.515,0.461,0.516,0.53,0.509,0.49,0.591,0.593,0.593,0.583,0.588,0.587,0.576,0.579,0.588,0.497,0.498,0.482,0.503,0.529,0.531,0.528,0.524,0.524,0.521,0.556,0.555,0.591,0.592,0.591,0.583,0.584,0.584,0.576,0.577,0.578,0.528,0.519,0.535
TPR01,2.671,2.848,2.649,3.422,3.422,3.885,2.737,4.305,3.598,1.325,1.943,2.804,5.563,5.408,5.364,5.364,5.21,5.143,3.355,3.576,3.488,4.798,1.734,1.623,5.391,3.075,4.383,4.715,3.508,4.042,4.16,1.006,0.993,3.578,0.971,0.949,2.561,1.038,0.552,4.657,1.853,1.457,6.468,5.629,5.85,4.812,5.453,5.276,2.605,2.539,2.362,0.596,2.583,0.983,1.785,1.73,1.73,1.736,1.593,1.593,2.569,1.762,1.762,6.468,6.247,6.38,4.812,5.011,4.879,2.605,2.649,2.45,1.611,2.009,1.898
