metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.576,0.578,0.574,0.902,0.723,0.719,0.881,0.671,0.669,0.894,0.71,0.616,0.927,0.518,0.549,0.915,0.456,0.481,0.928,0.516,0.429,0.775,0.763,0.763,0.906,0.893,0.893,0.896,0.883,0.883,0.759,0.382,0.362,0.74,0.352,0.323,0.742,0.276,0.275,0.798,0.79,0.793,0.931,0.695,0.695,0.929,0.635,0.636,0.926,0.671,0.577,0.861,0.284,0.284,0.823,0.465,0.465,0.822,0.522,0.522,0.931,0.484,0.52,0.929,0.405,0.435,0.926,0.472,0.385,0.506,0.508,0.634
TPR01,0.32,0.32,0.32,19.21,20.32,17.62,8.89,10.0,12.38,21.27,5.56,4.76,26.83,5.08,4.6,9.52,0.95,0.95,23.17,0.16,0.0,19.91,7.23,7.23,14.14,5.52,5.52,25.76,25.76,25.76,11.16,2.54,2.38,12.16,1.27,1.75,11.75,2.54,0.0,6.16,3.02,10.16,58.73,10.16,12.54,40.95,3.65,3.65,45.08,2.7,1.75,11.7,0.0,0.0,19.55,1.39,1.39,8.89,4.76,4.76,58.73,1.11,1.11,40.95,0.0,0.0,45.08,0.0,0.0,1.11,0.63,3.81
