metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.519,0.523,0.523,0.557,0.559,0.558,0.564,0.566,0.565,0.562,0.563,0.564,0.548,0.548,0.548,0.547,0.546,0.546,0.546,0.544,0.545,0.532,0.525,0.525,0.543,0.536,0.536,0.544,0.54,0.54,0.546,0.513,0.527,0.543,0.503,0.522,0.543,0.506,0.526,0.518,0.513,0.512,0.543,0.542,0.542,0.537,0.537,0.537,0.536,0.536,0.535,0.52,0.499,0.499,0.532,0.495,0.495,0.528,0.491,0.491,0.543,0.543,0.543,0.537,0.537,0.537,0.536,0.536,0.536,0.528,0.514,0.507
TPR01,2.086,2.4,2.186,4.1,3.743,4.157,3.129,3.3,3.214,2.914,3.057,3.243,3.3,3.386,3.329,3.414,3.257,3.257,3.1,2.914,3.0,2.257,1.6,1.6,2.186,1.193,1.193,3.043,1.286,1.286,2.314,0.871,0.871,1.6,1.2,1.686,1.857,1.229,2.014,2.543,1.329,1.3,2.671,2.886,2.686,2.129,2.186,2.129,2.1,2.257,2.271,0.978,0.9,0.9,1.074,1.532,1.532,1.293,0.86,0.86,2.671,2.657,2.614,2.129,2.129,2.129,2.1,2.143,2.143,2.4,0.986,1.043
