domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.77, 0, 0)","(0.25, 25, 72)","(0.716, 0, 0)","(0.77, 0, 0)","(0.81, 100, 'γ=1')","(0.085, 25, 9)","(0.004, 25, 9)","(0.056, 25, 72)","(0.181, 0, 0)","(0.171, 0, '-')"
dm_mathematics,"(0.895, 0, 0)","(0.196, 25, 72)","(0.849, 0, 0)","(0.918, 0, 0)","(0.872, 0, '-')","(0.162, 100, 18)","(0.0, 0, 0)","(0.141, 100, 18)","(0.303, 100, 9)","(0.094, 100, 'γ=1')"
github,"(0.651, 0, 0)","(0.333, 25, 72)","(0.593, 0, 0)","(0.644, 0, 0)","(0.832, 0, '-')","(0.055, 0, 0)","(0.0, 0, 0)","(0.041, 0, 0)","(0.163, 0, 0)","(0.296, 25, 'γ=1')"
pile_cc,"(0.546, 25, 9)","(0.458, 100, 72)","(0.538, 0, 0)","(0.543, 0, 0)","(0.518, 100, 'γ=4')","(0.026, 0, 0)","(0.01, 0, 0)","(0.024, 0, 0)","(0.028, 0, 0)","(0.018, 25, 'γ=1')"
