domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.814, 0, 0)","(0.211, 25, 72)","(0.8, 100, 9)","(0.815, 100, 9)","(0.811, 0, '-')","(0.3, 0, 0)","(0.0, 0, 0)","(0.24, 100, 9)","(0.31, 25, 9)","(0.32, 0, '-')"
dm_mathematics,"(0.867, 0, 0)","(0.155, 100, 72)","(0.8, 0, 0)","(0.925, 0, 0)","(0.92, 0, '-')","(0.21, 0, 0)","(0.0, 0, 0)","(0.1, 0, 0)","(0.61, 0, 0)","(0.43, 100, 'γ=1')"
github,"(0.894, 100, 9)","(0.13, 25, 72)","(0.887, 100, 9)","(0.896, 0, 0)","(0.893, 0, '-')","(0.6, 100, 9)","(0.0, 0, 0)","(0.5, 100, 9)","(0.64, 25, 18)","(0.64, 0, '-')"
hackernews,"(0.593, 0, 0)","(0.438, 100, 72)","(0.588, 100, 9)","(0.592, 0, 0)","(0.56, 100, 'γ=3')","(0.04, 0, 0)","(0.01, 25, 72)","(0.05, 0, 0)","(0.04, 0, 0)","(0.03, 0, '-')"
pile_cc,"(0.551, 25, 9)","(0.455, 100, 72)","(0.548, 100, 18)","(0.551, 25, 18)","(0.542, 0, '-')","(0.05, 25, 36)","(0.01, 25, 72)","(0.04, 100, 72)","(0.06, 25, 9)","(0.03, 0, '-')"
pubmed_central,"(0.815, 100, 9)","(0.221, 25, 72)","(0.802, 100, 9)","(0.815, 0, 0)","(0.821, 0, '-')","(0.23, 0, 0)","(0.0, 25, 72)","(0.23, 100, 9)","(0.26, 0, 0)","(0.21, 0, '-')"
