domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.801, 0, 0)","(0.228, 100, 72)","(0.778, 25, 9)","(0.804, 25, 9)","(0.798, 0, '-')","(0.297, 0, 0)","(0.004, 0, 0)","(0.257, 0, 0)","(0.252, 0, 0)","(0.26, 0, '-')"
dm_mathematics,"(0.913, 0, 0)","(0.104, 100, 72)","(0.867, 0, 0)","(0.95, 0, 0)","(0.928, 25, 'γ=1')","(0.311, 0, 0)","(0.0, 0, 0)","(0.187, 0, 0)","(0.605, 0, 0)","(0.584, 25, 'γ=2')"
github,"(0.869, 100, 9)","(0.15, 25, 72)","(0.865, 100, 18)","(0.872, 0, 0)","(0.877, 0, '-')","(0.524, 25, 18)","(0.0, 0, 0)","(0.498, 100, 36)","(0.567, 25, 18)","(0.559, 25, 'γ=2')"
hackernews,"(0.581, 0, 0)","(0.438, 100, 72)","(0.578, 0, 0)","(0.58, 0, 0)","(0.578, 100, 'γ=2')","(0.04, 0, 0)","(0.009, 100, 36)","(0.038, 0, 0)","(0.039, 25, 9)","(0.025, 25, 'γ=1')"
pile_cc,"(0.543, 0, 0)","(0.466, 25, 72)","(0.537, 100, 9)","(0.545, 25, 9)","(0.528, 0, '-')","(0.037, 100, 72)","(0.013, 100, 72)","(0.027, 100, 72)","(0.045, 100, 36)","(0.02, 0, '-')"
pubmed_central,"(0.831, 25, 9)","(0.209, 25, 72)","(0.816, 25, 9)","(0.83, 0, 0)","(0.823, 0, '-')","(0.288, 25, 9)","(0.004, 25, 72)","(0.267, 25, 9)","(0.31, 100, 18)","(0.235, 100, 'γ=1')"
