metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.601,0.605,0.593,0.929,0.77,0.778,0.909,0.795,0.804,0.912,0.758,0.678,0.954,0.691,0.742,0.95,0.706,0.76,0.952,0.68,0.581,0.864,0.712,0.773,0.942,0.858,0.878,0.938,0.826,0.787,0.842,0.355,0.373,0.846,0.357,0.374,0.835,0.366,0.325,0.872,0.874,0.87,0.952,0.762,0.775,0.956,0.774,0.792,0.95,0.738,0.66,0.578,0.443,0.567,0.83,0.421,0.422,0.786,0.523,0.524,0.827,0.543,0.543,0.952,0.679,0.733,0.956,0.675,0.739,0.95,0.657,0.556,0.474,0.506,0.67
TPR01,0.0,0.0,0.0,61.905,8.889,13.968,56.984,14.444,15.873,69.683,8.095,13.175,73.333,1.587,3.016,73.333,1.111,2.54,78.889,0.0,0.0,25.268,0.635,5.497,65.792,4.092,2.346,70.754,4.127,4.762,13.863,0.0,0.0,6.156,0.159,0.159,7.619,3.81,0.159,20.648,9.913,13.651,74.127,7.778,11.905,73.492,6.508,8.571,73.016,14.127,4.127,1.111,0.0,1.115,11.73,0.0,0.0,11.706,0.517,0.2,16.964,0.0,0.0,74.127,0.952,1.587,73.492,0.635,1.746,73.016,0.0,0.0,0.0,2.54,1.587
