metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.541,0.551,0.547,0.562,0.567,0.567,0.554,0.567,0.563,0.535,0.555,0.578,0.589,0.589,0.589,0.582,0.583,0.582,0.575,0.576,0.577,0.589,0.579,0.579,0.591,0.576,0.576,0.575,0.569,0.569,0.518,0.457,0.483,0.51,0.453,0.479,0.509,0.459,0.518,0.507,0.495,0.482,0.589,0.589,0.589,0.582,0.589,0.587,0.576,0.586,0.592,0.514,0.511,0.511,0.507,0.504,0.504,0.525,0.51,0.51,0.589,0.589,0.589,0.582,0.583,0.582,0.576,0.578,0.578,0.518,0.517,0.531
TPR01,3.05,2.87,3.05,3.38,4.42,4.64,1.99,3.07,3.27,1.83,2.12,3.91,5.19,5.1,5.17,4.88,4.83,4.79,3.2,3.18,3.42,4.79,4.88,4.88,5.05,4.79,4.79,4.8,3.96,3.96,1.7,0.26,0.26,2.61,0.66,0.71,1.85,0.95,0.38,4.7,2.17,0.82,6.14,4.59,4.72,4.46,4.33,4.24,2.69,1.99,2.91,0.38,2.74,2.74,1.13,2.96,2.96,1.21,2.9,2.9,6.14,5.89,5.94,4.46,4.53,4.5,2.69,2.74,2.6,1.85,1.35,2.47
