metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.52,0.532,0.518,0.555,0.551,0.553,0.561,0.559,0.56,0.558,0.556,0.559,0.544,0.543,0.543,0.541,0.54,0.54,0.54,0.538,0.539,0.526,0.504,0.505,0.528,0.514,0.513,0.538,0.51,0.51,0.533,0.508,0.512,0.527,0.502,0.505,0.524,0.5,0.505,0.516,0.511,0.509,0.539,0.536,0.537,0.532,0.531,0.531,0.531,0.53,0.531,0.497,0.513,0.513,0.512,0.514,0.515,0.514,0.516,0.515,0.515,0.539,0.538,0.539,0.532,0.531,0.532,0.531,0.531,0.531,0.517,0.516,0.507
TPR01,2.186,2.129,2.414,3.043,2.971,2.914,3.914,3.386,3.571,3.714,3.143,3.757,3.986,3.514,3.571,2.771,2.743,2.757,2.7,2.571,2.657,1.671,1.452,1.402,1.757,1.593,1.593,2.371,0.957,1.05,1.731,1.729,1.414,1.657,1.671,1.6,1.329,1.671,1.671,2.29,0.957,0.971,2.271,2.3,2.3,2.057,2.086,2.1,1.9,1.929,1.786,1.758,0.731,0.731,1.196,0.493,0.493,1.41,0.939,0.939,2.829,2.271,2.243,2.271,2.057,2.086,2.057,1.9,1.914,1.914,1.429,1.143,1.386
