domain,auc_edgington,auc_fisher,auc_pearson,auc_george,auc_log,tpr01_edgington,tpr01_fisher,tpr01_pearson,tpr01_george,tpr01_log
arxiv,"(0.75, 0, 0)","(0.282, 25, 72)","(0.716, 100, 9)","(0.757, 0, 0)","(0.767, 0, 0)","(0.1, 0, 0)","(0.0, 100, 36)","(0.04, 0, 0)","(0.2, 0, 0)","(0.19, 0, 0)"
pubmed_central,"(0.819, 0, 0)","(0.24, 25, 72)","(0.802, 0, 0)","(0.82, 0, 0)","(0.828, 0, 0)","(0.22, 25, 9)","(0.0, 0, 0)","(0.19, 25, 9)","(0.28, 100, 9)","(0.26, 0, 0)"
