metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.554,0.559,0.555,0.585,0.589,0.587,0.578,0.58,0.58,0.56,0.56,0.583,0.598,0.599,0.599,0.596,0.597,0.597,0.587,0.588,0.59,0.593,0.574,0.574,0.584,0.575,0.575,0.585,0.578,0.578,0.559,0.497,0.519,0.554,0.486,0.499,0.537,0.471,0.521,0.564,0.546,0.527,0.599,0.601,0.6,0.597,0.597,0.597,0.589,0.589,0.597,0.505,0.549,0.509,0.545,0.525,0.525,0.563,0.526,0.526,0.557,0.526,0.526,0.599,0.6,0.599,0.597,0.597,0.597,0.589,0.59,0.591,0.53,0.518,0.54
TPR01,3.245,3.929,2.958,5.74,5.982,6.049,3.819,4.216,3.753,2.561,2.539,2.936,6.998,6.667,6.667,3.731,4.128,3.996,1.7,1.987,1.656,4.839,1.921,1.921,6.371,2.556,2.556,7.632,4.554,4.554,5.008,1.523,1.878,4.043,1.523,2.031,2.362,1.678,2.252,5.797,1.991,1.832,7.991,7.991,8.057,3.841,4.614,4.305,1.81,1.744,2.119,1.656,2.508,2.121,0.21,2.117,2.117,1.02,1.633,1.633,0.874,1.677,1.677,7.991,7.616,7.748,3.841,3.996,3.885,1.81,1.744,1.678,1.501,2.296,2.494
