metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.606,0.611,0.591,0.92,0.847,0.86,0.9,0.83,0.847,0.897,0.827,0.78,0.957,0.897,0.909,0.957,0.871,0.889,0.961,0.864,0.826,0.786,0.704,0.704,0.933,0.853,0.853,0.938,0.863,0.863,0.84,0.553,0.618,0.816,0.566,0.645,0.817,0.561,0.578,0.884,0.87,0.874,0.948,0.854,0.871,0.952,0.842,0.861,0.951,0.831,0.782,0.57,0.434,0.55,0.825,0.434,0.434,0.808,0.561,0.561,0.813,0.589,0.589,0.948,0.898,0.914,0.952,0.876,0.893,0.951,0.865,0.825,0.518,0.508,0.673
TPR01,0.0,0.0,0.0,61.746,39.683,40.476,55.556,15.556,25.238,69.048,13.175,21.429,77.302,34.762,45.556,75.873,4.286,7.778,83.81,2.381,2.698,24.275,1.429,1.429,58.403,0.476,0.476,76.49,9.048,9.048,13.894,1.746,3.175,10.324,5.238,10.952,13.492,3.175,7.143,30.891,17.479,25.397,77.143,38.095,42.063,75.238,10.794,16.349,77.619,14.603,14.762,1.111,0.0,1.005,15.946,1.67,1.67,14.733,3.175,3.175,19.59,3.505,3.505,77.143,32.54,43.651,75.238,2.063,4.921,77.619,1.27,0.476,1.587,1.27,1.27
