metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.601,0.604,0.593,0.929,0.77,0.78,0.909,0.795,0.803,0.912,0.759,0.68,0.954,0.692,0.742,0.95,0.704,0.759,0.951,0.68,0.581,0.868,0.808,0.822,0.942,0.854,0.852,0.938,0.802,0.805,0.842,0.371,0.39,0.846,0.357,0.369,0.833,0.349,0.312,0.873,0.872,0.869,0.952,0.761,0.775,0.956,0.773,0.791,0.95,0.739,0.661,0.547,0.312,0.336,0.824,0.427,0.429,0.786,0.523,0.524,0.819,0.549,0.546,0.465,0.952,0.679,0.734,0.956,0.675,0.74,0.95,0.658,0.558,0.475,0.507,0.67
TPR01,0.0,0.0,0.0,60.952,10.159,13.968,56.984,14.444,15.556,69.683,8.095,13.175,73.333,1.587,3.016,73.175,1.111,2.54,78.73,0.0,0.0,25.368,5.656,5.162,66.142,2.222,2.222,71.471,5.397,5.238,13.087,0.0,0.0,6.056,0.159,0.159,7.619,3.81,0.952,17.444,10.03,13.651,74.127,7.937,11.905,73.492,6.508,8.254,73.016,14.444,4.127,3.175,0.0,0.0,6.994,0.0,0.0,11.606,0.2,0.2,16.823,0.0,0.0,2.381,74.127,0.952,1.587,73.492,0.635,1.746,73.016,0.0,0.0,0.0,2.54,1.587
