metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.532,0.436,0.526,0.84,0.86,0.849,0.84,0.899,0.88,0.82,0.889,0.88,0.89,0.89,0.89,0.909,0.909,0.909,0.909,0.909,0.909,0.836,0.732,0.732,0.85,0.746,0.746,0.894,0.79,0.79,0.86,0.549,0.73,0.829,0.572,0.699,0.819,0.57,0.798,0.914,0.823,0.737,0.9,0.89,0.89,0.92,0.939,0.939,0.919,0.939,0.939,0.612,0.434,0.434,0.491,0.319,0.319,0.537,0.286,0.286,0.9,0.9,0.9,0.92,0.929,0.92,0.919,0.929,0.919,0.442,0.46,0.582
TPR01,20.9,21.23,21.23,60.73,63.05,62.97,52.15,61.44,61.45,49.3,59.18,61.4,79.92,79.92,79.92,75.46,75.47,75.47,75.39,75.39,75.39,56.52,46.06,46.01,48.96,38.49,38.47,59.08,48.53,48.55,52.5,9.1,43.21,32.65,10.89,24.23,32.09,22.96,34.43,62.1,52.64,42.29,79.91,79.92,79.92,80.44,80.47,80.46,80.39,80.41,80.4,2.47,10.64,10.64,5.59,3.32,3.32,11.06,3.32,3.32,79.91,79.91,79.91,80.44,80.45,80.45,80.39,80.4,80.4,1.22,2.25,20.39
