metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.7,0.701,0.703,0.776,0.789,0.786,0.769,0.777,0.774,0.733,0.74,0.767,0.795,0.796,0.795,0.786,0.786,0.786,0.769,0.769,0.771,0.794,0.739,0.739,0.795,0.721,0.721,0.79,0.708,0.708,0.755,0.564,0.645,0.723,0.546,0.616,0.716,0.544,0.676,0.741,0.679,0.659,0.785,0.792,0.791,0.774,0.779,0.778,0.761,0.763,0.769,0.625,0.492,0.492,0.655,0.509,0.509,0.698,0.503,0.503,0.639,0.785,0.786,0.786,0.774,0.776,0.775,0.761,0.762,0.763,0.525,0.547,0.509
TPR01,6.4,7.543,3.543,23.714,30.8,29.457,21.629,24.971,23.571,9.943,9.8,9.771,28.686,28.429,27.971,21.829,22.257,21.829,11.429,11.629,12.486,25.657,4.0,4.0,24.883,4.971,5.057,25.238,4.714,4.714,17.155,2.429,5.971,15.957,1.4,3.857,6.543,0.571,9.457,17.692,6.229,2.2,27.886,28.543,27.257,19.629,22.143,21.629,9.857,11.0,10.4,1.488,0.044,0.044,2.964,1.425,1.425,6.307,2.124,2.124,6.029,27.886,28.229,27.886,19.629,20.143,19.8,9.857,10.457,10.514,3.8,3.829,5.371
