metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.6,0.573,0.618,0.745,0.758,0.756,0.716,0.735,0.731,0.686,0.72,0.731,0.762,0.761,0.761,0.743,0.743,0.743,0.735,0.737,0.737,0.751,0.515,0.494,0.749,0.543,0.543,0.744,0.559,0.543,0.639,0.469,0.54,0.629,0.474,0.532,0.632,0.499,0.594,0.658,0.599,0.587,0.746,0.748,0.747,0.732,0.735,0.734,0.728,0.735,0.739,0.587,0.471,0.479,0.598,0.479,0.474,0.617,0.469,0.47,0.611,0.746,0.747,0.747,0.732,0.733,0.732,0.728,0.73,0.73,0.5,0.512,0.549
TPR01,4.31,4.51,4.74,17.11,16.71,17.46,10.29,12.34,12.86,8.11,9.94,10.2,21.34,20.09,20.63,14.37,14.06,14.37,5.71,6.2,5.54,21.69,0.83,2.51,19.69,0.0,0.54,20.69,1.4,1.11,8.03,0.89,1.89,6.71,0.0,1.14,4.77,0.03,4.37,7.54,3.37,1.66,18.37,17.26,18.8,11.03,12.69,12.8,5.71,7.69,7.0,0.97,0.4,0.71,3.0,0.29,1.23,2.89,0.57,0.14,2.86,18.37,18.49,18.69,11.03,12.03,11.74,5.71,5.8,5.89,2.06,0.94,3.83
