metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.606,0.606,0.591,0.825,0.828,0.83,0.811,0.816,0.818,0.817,0.821,0.812,0.826,0.825,0.825,0.808,0.807,0.807,0.812,0.809,0.808,0.771,0.76,0.76,0.794,0.789,0.789,0.808,0.804,0.804,0.71,0.612,0.691,0.697,0.58,0.651,0.7,0.593,0.657,0.553,0.515,0.516,0.813,0.813,0.814,0.791,0.791,0.792,0.791,0.788,0.781,0.651,0.511,0.511,0.686,0.514,0.514,0.7,0.539,0.539,0.813,0.815,0.814,0.791,0.791,0.791,0.791,0.791,0.789,0.608,0.606,0.638
TPR01,3.78,3.2,3.37,32.99,31.34,32.65,32.03,29.3,30.17,28.43,29.13,24.97,23.14,22.88,22.59,25.17,22.97,22.99,21.92,21.34,20.41,5.46,2.96,2.96,10.91,3.73,3.73,15.33,14.19,14.19,5.28,3.14,10.32,7.23,2.01,6.16,9.68,1.98,4.24,1.78,1.36,1.13,17.41,15.93,14.71,16.31,15.12,14.59,15.61,11.48,7.35,2.44,0.23,0.23,4.46,0.91,0.91,4.24,0.53,0.53,17.41,17.62,17.5,16.31,15.2,15.73,15.61,14.88,13.46,3.63,2.79,3.08
