metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,elbow_idx,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.635,0.634,0.635,0.914,0.91,0.912,0.914,0.912,0.913,0.914,0.902,0.904,0.913,0.908,0.909,0.914,0.907,0.908,0.918,0.9,0.898,0.894,0.85,0.85,0.895,0.849,0.849,0.898,0.859,0.859,0.883,0.852,0.869,0.877,0.851,0.866,0.866,0.828,0.831,0.862,0.834,0.813,0.898,0.898,0.898,0.892,0.893,0.892,0.884,0.876,0.869,0.555,0.541,0.554,0.845,0.534,0.534,0.879,0.551,0.551,0.887,0.551,0.551,0.898,0.898,0.898,0.892,0.893,0.892,0.884,0.879,0.875,0.685,0.674,0.71
TPR01,0.745,1.011,1.33,70.585,70.904,70.426,71.489,70.16,70.851,70.053,42.926,36.33,72.979,70.798,70.691,74.096,67.181,67.713,71.702,41.968,36.968,60.095,4.096,4.096,62.743,3.923,3.923,66.405,3.138,3.138,59.328,56.968,60.585,46.053,41.117,43.704,32.181,20.798,14.202,51.583,30.649,24.043,61.17,63.032,62.447,53.511,53.989,54.202,42.979,29.202,23.245,0.16,0.0,1.248,37.354,0.713,0.713,59.746,0.319,0.319,60.997,0.343,0.343,61.17,62.5,61.702,53.511,54.096,53.989,42.979,29.894,25.16,5.479,2.181,8.298
