metric,apen_1000,apen_600,apen_800,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_200,cbpm_300,cbpm_T,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,elbow_delta_slope,elbow_frac,flat_frac,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,nei_delta,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,slope_1000,slope_600,slope_800
AUC,0.58,0.578,0.579,0.91,0.906,0.908,0.904,0.901,0.903,0.903,0.867,0.869,0.909,0.903,0.904,0.905,0.898,0.9,0.911,0.87,0.868,0.886,0.857,0.86,0.889,0.853,0.844,0.891,0.867,0.867,0.877,0.837,0.863,0.871,0.849,0.865,0.852,0.78,0.784,0.851,0.824,0.796,0.891,0.891,0.891,0.882,0.883,0.883,0.868,0.839,0.829,0.737,0.575,0.579,0.846,0.564,0.563,0.877,0.554,0.556,0.88,0.568,0.569,0.713,0.891,0.891,0.891,0.882,0.883,0.883,0.868,0.846,0.841,0.742,0.699,0.718
TPR01,0.053,0.106,0.106,69.415,67.926,68.617,68.564,67.66,68.404,68.617,16.06,11.379,69.468,66.064,66.383,68.457,65.053,66.223,67.819,15.581,9.623,60.515,1.596,1.649,59.885,0.319,0.532,61.934,5.819,1.117,58.518,57.181,58.617,49.932,48.777,49.117,30.638,2.868,1.113,49.489,32.091,18.83,60.691,61.064,60.957,53.989,56.543,56.064,42.074,16.432,12.017,6.755,0.419,0.053,44.01,0.13,0.13,58.176,0.319,0.319,60.162,0.372,0.372,0.0,60.691,60.904,60.851,53.989,56.064,55.691,42.074,15.794,10.794,10.479,4.947,5.851
